Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
AdNext: a visit-pattern-aware mobile advertising system for urban commercial complexes,Byoungjip Kim,HotMobile,2011,3,,http://dl.acm.org/citation.cfm?id=2184492
,Jin-Young Ha,,,,,
,Junehwa Song,,,,,
Age of first dental visit and predictors for oral healthcare utilisation in preschool children.,Chaiana Piovesan,Oral health & preventive dentistry,2012,1,,https://pdfs.semanticscholar.org/fd26/731a5dc75e7e4dc62310160323d2eb281af1.pdf
,Fabiana Vargas-Ferreira,,,,,
,Fausto Medeiros Mendes,,,,,
,Thiago Machado Ardenghi,,,,,
"Ambulatory care visits for asthma: United States, 1993-94.",Catharine W Burt,Advance data,1996,,,https://pdfs.semanticscholar.org/6044/ebdbb26c8ecf56a6ef2df1fec8bf77a37967.pdf
,David E. Knapp,,,,,
An efficient predictive admission control policy for heterogenous wireless bandwidth allocation in next generation mobile networks,Racha Ben Ali,IWCMC,2006,,,http://dl.acm.org/citation.cfm?id=1143676
,Samuel Pierre,,,,,
"Antenatal care visit attendance, intermittent preventive treatment and bed net use during pregnancy in Gabon",Denise Patricia Mawili-Mboumba,BMC pregnancy and childbirth,2013,2,8,https://pdfs.semanticscholar.org/d836/52ba4b5a68a7a494fb1fd59f092fa449af1e.pdf
,Marielle Karine Bouyou-Akotet,,,,,
,Maryvonne Kombila,,,,,
Assessing the impact of next-generation rapid diagnostic tests on Plasmodium falciparum malaria elimination strategies,Amanda Ross,Nature,2015,1,26,http://doi.org/10.1038/nature16040
,Azra C. Ghani,,,,,
,Hannah C. Slater,,,,,
Assessing the impact of next-generation rapid diagnostic tests on Plasmodium falciparum malaria elimination strategies,Amanda Ross,Nature,2015,1,26,http://doi.org/10.1038/nature16040
,Azra C. Ghani,,,,,
,Hannah C. Slater,,,,,
Assessment of the Next Generation Mobile Network candidate technologies,Andreas Schieder,2010 14th International Telecommunications…,2010,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5624925
,Arne Chrestin,,,,,
,Dietmar Springer,,,,,
,Stefan G. Berg,,,,,
Attribution requirements for next generation Internets,Carrie Gates,2011 IEEE International Conference on…,2011,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6107894
,Jeffrey Hunker,,,,,
,Matt Bishop,,,,,
Beliefs and barriers to follow-up after an emergency department asthma visit: a randomized trial.,Amber Chew,Pediatrics,2009,4,,https://www.ncbi.nlm.nih.gov/pubmed/19786448
,Joseph J. Zorc,,,,,
,Julian Allen,,,,,
,Kathy F. Shaw,,,,,
CPT fee differentials and visit upcoding under Medicare Part B.,Christopher Scott Brunt,Health economics,2011,1,,https://pdfs.semanticscholar.org/2626/98f0ff6455f92d01611a3026451b9b2bfe10.pdf
Can pediatricians accurately identify maternal depression at well-child visits?,Hiroki Mishina,Pediatrics international : official journal of…,2010,,,https://www.ncbi.nlm.nih.gov/pubmed/19807879
,John Ichiro Takayama,,,,,
,Mari Kasahara,,,,,
,Shunichi Fukuhara,,,,,
,Yasuaki Hayashino,,,,,
Clinical outcomes of Single-Visit oral Prophylaxis: A practice-based randomised controlled trial,Annette Wyllie,BMC oral health,2011,,,https://pdfs.semanticscholar.org/6ac9/6138bed780e25ee562f5577ea48c43a3c440.pdf
,Clare L Jones,,,,,
,Keith Martin Milsom,,,,,
,Martin Tickle,,,,,
,Philip Ratcliffe,,,,,
,Tatiana V Macfarlane,,,,,
Co-creation Experiences: the next Practice in Value Creation,C. K. Prahalad,,,59,80,https://pdfs.semanticscholar.org/b876/6b44c65c8e3e9a7b47dc7a77f5bf398ab152.pdf
,Venkat Ramaswamy,,,,,
Comprehensive Predictions of Tourists' Next Visit Location Based on Call Detail Records Using Machine Learning and Deep Learning Methods,Jenny Xie,2017 IEEE International Congress on Big Data…,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8029302
,Kent Larson,,,,,
,Nai Chun Chen,,,,,
,Roy E. Welsch,,,,,
,Wanqin Xie,,,,,
Current location-based next POI recommendation,Isaac K. E. Ampomah,WI,2017,,,http://dl.acm.org/citation.cfm?id=3106528
,Seyoung Park,,,,,
Customerization: the next Revolution in Mass Customization,Shokirkhon Oppokhonov,,2001,11,,https://pdfs.semanticscholar.org/297a/6c1eea4d2ae6e862c46d1c0c09e1de003b11.pdf
Database Performance for Next Generation Telecommunications,Munir Cochinwala,ICDE,2001,,,https://pdfs.semanticscholar.org/301f/a618c2f37a92c5768db23ab4bfc2f38039cd.pdf
Death after emergency department visits for syncope: how common and can it be predicted?,Daniel A McDermott,Annals of emergency medicine,2008,1,,https://pdfs.semanticscholar.org/0675/454b5db54db486b1880f30372ea9d8b2f834.pdf
,George A Wells,,,,,
,James Victor Quinn,,,,,
Death after emergency department visits for syncope: how common and can it be predicted?,Daniel A McDermott,Annals of emergency medicine,2008,1,,https://pdfs.semanticscholar.org/0675/454b5db54db486b1880f30372ea9d8b2f834.pdf
,George A Wells,,,,,
,James Victor Quinn,,,,,
Defining the needs for next generation assays for tuberculosis.,Claudia M Denkinger,The Journal of infectious diseases,2015,2,24,https://pdfs.semanticscholar.org/3b28/bc7e61332c465eb9272a8e877f2d62c9820a.pdf
,Madhukar Pai,,,,,
,Sandra V. Kik,,,,,
Defining the needs for next generation assays for tuberculosis.,Claudia M Denkinger,The Journal of infectious diseases,2015,2,24,https://pdfs.semanticscholar.org/3b28/bc7e61332c465eb9272a8e877f2d62c9820a.pdf
,Madhukar Pai,,,,,
,Sandra V. Kik,,,,,
Effect of language barriers on follow-up appointments after an emergency department visit,Joshua Sarver BA,Journal of General Internal Medicine,2000,1,,http://doi.org/10.1111/j.1525-1497.2000.06469.x
,MPH Dr.  David  W.  Baker  MD,,,,,
Effective Cleaning of Educational Web Site Usage Patterns and Predicting their Next Visit,Anil Kumar Solanki,,2012,,,https://pdfs.semanticscholar.org/25d7/7d01335cef10c4e86fef5f063ddae99a15d6.pdf
,H. N. Suresha Kumar,,,,,
Efficient algorithms for Next Best View evaluation,Fredrik Bissmarck,2015 IEEE/RSJ International Conference on…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7354212
,Gustav Tolt,,,,,
,Martin Svensson,,,,,
Evaluating Next-Cell Predictors with Extensive Wi-Fi Mobility Data,David Kotz,IEEE Transactions on Mobile Computing,2006,15,18,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1717434
,Libo Song,,,,,
,Ravi Jain,,,,,
,Xiaoning He,,,,,
Excessive visit-to-visit glycemic variability independently deteriorates the progression of endothelial and renal dysfunction in patients with type 2 diabetes mellitus,Fang Wei,BMC nephrology,2016,,,https://pdfs.semanticscholar.org/1b95/5c03c87a23adc8f912c73b6884681f53a7b8.pdf
,Hua Zhang,,,,,
,Xiaolin Sun,,,,,
,Yingxin Zhao,,,,,
,Yutao Diao,,,,,
,Zhendong Liu,,,,,
Exploration of machine learning techniques in predicting multiple sclerosis disease course,Brian C. Healy,PloS one,2017,1,32,https://pdfs.semanticscholar.org/4077/e1e7e1ee4091df30c9ed705faf588be1296e.pdf
,Tanuja Chitnis,,,,,
,Yijun Zhao,,,,,
Exploration of machine learning techniques in predicting multiple sclerosis disease course,Brian C. Healy,PloS one,2017,1,32,https://pdfs.semanticscholar.org/4077/e1e7e1ee4091df30c9ed705faf588be1296e.pdf
,Tanuja Chitnis,,,,,
,Yijun Zhao,,,,,
Factorizing personalized Markov chains for next-basket recommendation,Christoph Freudenthaler,WWW,2010,68,92,http://dl.acm.org/citation.cfm?id=1772773
,Lars Schmidt-Thieme,,,,,
,Steffen Rendle,,,,,
Factors Predictive of Emergency Department Visits and Hospitalization Following Thyroidectomy and Parathyroidectomy,Ashwini Reddi Sehgal,Annals of Surgical Oncology,2015,,,http://doi.org/10.1245/s10434-015-4797-4
,Christopher R. McHenry,,,,,
,Julie A. Nichols RN,,,,,
,Ryan A. FitzGerald BA,,,,,
Factors associated with hospital admissions and repeat emergency department visits for adults with asthma.,Brendon Smith,Thorax,2000,2,,https://pdfs.semanticscholar.org/1dfb/faf8fdbe9711e5717ae3a3c6df0de8948d68.pdf
,Richard E. Ruffin,,,,,
,Robert J Adams,,,,,
Fear-avoidance model of chronic pain: the next generation.,Christopher Eccleston,The Clinical journal of pain,2012,10,,https://pdfs.semanticscholar.org/5e4d/4ab766d93109a612ecc3f4b10fb1d6444289.pdf
,Geert Crombez,,,,,
,Johan W. S. Vlaeyen,,,,,
,Paul Karoly,,,,,
,Stefaan van Damme,,,,,
Hybrid Predictors for Next Location Prediction,Faruk Bagci,UIC,2006,1,,https://pdfs.semanticscholar.org/2441/19bb74713dd5fb16198ddc77678ab664b9fb.pdf
,Jan Petzold,,,,,
,Theo Ungerer,,,,,
,Wolfgang Trumler,,,,,
Incidence of post-obturation pain after single-visit versus multiple-visit non-surgical endodontic treatments,Amy Wai-yee Wong,BMC oral health,2015,1,5,https://pdfs.semanticscholar.org/628d/d7d589b75619d0dd3ebb6e3ca76d9f0ec86f.pdf
,Cheng Zhang,,,,,
,Chun Hung Chu,,,,,
,Samantha Kar-Yan Li,,,,,
,Shinan Zhang,,,,,
,Xiaofei Zhu,,,,,
Indoor Next Location Prediction with Wi-Fi,B Ang,,2014,,,https://pdfs.semanticscholar.org/0bba/cd2f01da2a5abdf3aa1ff3f68b7c9be758ed.pdf
,Daniel Dahlmeier,,,,,
,H. W. Mui,,,,,
Informing the Uninformed: How Drug Advertising Affects Check-up Visits,Brett W. Wendling,,2009,,,https://pdfs.semanticscholar.org/c6c3/2463a4e71765fb1ca7541f790fd0941d3d6b.pdf
,Catherine Tucker,,,,,
,Daniel Hosken,,,,,
,David Schmidt,,,,,
,Pauline M. Ippolito,,,,,
,Steven Tenn,,,,,
Is pulse pressure useful in predicting risk for coronary heart Disease? The Framingham heart study.,Daniel Lévy,Circulation,1999,16,,https://pdfs.semanticscholar.org/46f3/668b667effb69a3b06ebffb3c17b30eee45b.pdf
,Martin G. Larson,,,,,
,Nathan D Wong,,,,,
,Sher Akbar Khan,,,,,
,Stanley S. Franklin,,,,,
Leveraging periodicity in human mobility for next place prediction,Bhaskar Prabhala,2014 IEEE Wireless Communications and Networking…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6952829
,Budhaditya Deb,,,,,
,Jiawei Han,,,,,
,Jingjing Wang,,,,,
,Thomas F. La Porta,,,,,
MOODY ’ S KMV RISKCALC TM v 3 . 1 MODEL NEXT-GENERATION TECHNOLOGY FOR PREDICTING PRIVATE FIRM CREDIT RISK OVERVIEW,Douglas W. Dwyer,,2004,,,https://pdfs.semanticscholar.org/3484/a9ef5da0de08c7096eb43d8a7cbdeda5117d.pdf
,Roger M. Stein,,,,,
Machine Learning Paradigms for Next-Generation Wireless Networks,Chunxiao Jiang,IEEE Wireless Communications,2017,2,74,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7792374
,Haijun Zhang,,,,,
,Kwang-Cheng Chen,,,,,
,Lajos Hanzo Hanzo,,,,,
,Yong Ren,,,,,
,Zhu Han,,,,,
Machine Learning Paradigms for Next-Generation Wireless Networks,Chunxiao Jiang,IEEE Wireless Communications,2017,2,74,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7792374
,Haijun Zhang,,,,,
,Kwang-Cheng Chen,,,,,
,Lajos Hanzo Hanzo,,,,,
,Yong Ren,,,,,
,Zhu Han,,,,,
Machine Learning Paradigms for Next-Generation Wireless Networks,Chunxiao Jiang,IEEE Wireless Communications,2017,2,74,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7792374
,Haijun Zhang,,,,,
,Kwang-Cheng Chen,,,,,
,Lajos Hanzo Hanzo,,,,,
,Yong Ren,,,,,
,Zhu Han,,,,,
Medication use leading to emergency department visits for adverse drug events in older adults.,Chesley L. Richards,Annals of internal medicine,2007,10,,https://www.ncbi.nlm.nih.gov/pubmed/18056659
,Daniel S. Budnitz,,,,,
,Nadine Shehab,,,,,
,Scott R. Kegler,,,,,
Mental and behavioral health screening at preventive visits: opportunities for follow-up of patients who are nonadherent with the next preventive visit.,Ann M Digirolamo,The Journal of pediatrics,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21074180
,Karen Ann Hacker,,,,,
,Lisa N Arsenault,,,,,
,Sandra Williams,,,,,
Metagenomics: Tools and Insights for Analyzing Next-Generation Sequencing Data Derived from Biodiversity Studies,Anastasis Oulas,Bioinformatics and biology insights,2015,1,61,https://pdfs.semanticscholar.org/f353/477366657dc8adfe575b178fbdbadf37a88a.pdf
,Christina Pavloudi,,,,,
,Ioannis Iliopoulos,,,,,
Metagenomics: Tools and Insights for Analyzing Next-Generation Sequencing Data Derived from Biodiversity Studies,Anastasis Oulas,Bioinformatics and biology insights,2015,1,61,https://pdfs.semanticscholar.org/f353/477366657dc8adfe575b178fbdbadf37a88a.pdf
,Christina Pavloudi,,,,,
,Ioannis Iliopoulos,,,,,
Mining Object Similarity for Predicting Next Locations,Meng Chen,Journal of Computer Science and Technology,2016,,,http://doi.org/10.1007/s11390-016-1654-2
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining Object Similarity for Predicting Next Locations,Meng Chen,Journal of Computer Science and Technology,2016,,,http://doi.org/10.1007/s11390-016-1654-2
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining moving patterns for predicting next location,Meng Chen,Inf. Syst.,2015,,,http://doi.org/10.1016/j.is.2015.07.001
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining moving patterns for predicting next location,Meng Chen,Inf. Syst.,2015,,,http://doi.org/10.1016/j.is.2015.07.001
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining online footprints to predict user's next location,Qunying Huang,International Journal of Geographical Information…,2017,,,http://doi.org/10.1080/13658816.2016.1209506
Mining online footprints to predict user's next location,Qunying Huang,International Journal of Geographical Information…,2017,,,http://doi.org/10.1080/13658816.2016.1209506
Missing clinical information during primary care visits.,P Smith,JAMA,2005,14,,https://pdfs.semanticscholar.org/dbbc/9c2697a2d65a75744d4314c6091bc00e46d5.pdf
,Rodrigo Araya-Guerra,,,,,
,Wilson D. Pace,,,,,
Missing clinical information during primary care visits.,P Smith,JAMA,2005,14,,https://pdfs.semanticscholar.org/dbbc/9c2697a2d65a75744d4314c6091bc00e46d5.pdf
,Rodrigo Araya-Guerra,,,,,
,Wilson D. Pace,,,,,
Modeling Sequential Tourist Flows : Where Is the next Destination ?,Jie Zhang,,2013,1,,https://pdfs.semanticscholar.org/6666/b6098a464ae5146b65e7f3ae2760ded72379.pdf
,Timothy J. Fik,,,,,
,Yang Yang,,,,,
NEXT: A Neural Network Framework for Next POI Recommendation,Aixin Sun,ArXiv,2017,,,https://arxiv.org/pdf/1704.04576.pdf
,Chenliang Li,,,,,
,Dengpan Ye,,,,,
,Xiangyang Luo,,,,,
,Zhiqian Zhang,,,,,
,Zhiyong Wu,,,,,
"National study of patient, visit, and hospital characteristics associated with leaving an emergency department without being seen: predicting LWBS.",George Ho,Academic emergency medicine : official journal of…,2009,3,,https://www.ncbi.nlm.nih.gov/pubmed/19799570
,Julius Cuong Pham,,,,,
,Melissa Lee McCarthy,,,,,
,Peter J. Pronovost,,,,,
,Peter Michael Hill,,,,,
"National study of patient, visit, and hospital characteristics associated with leaving an emergency department without being seen: predicting LWBS.",George Ho,Academic emergency medicine : official journal of…,2009,3,,https://www.ncbi.nlm.nih.gov/pubmed/19799570
,Julius Cuong Pham,,,,,
,Melissa Lee McCarthy,,,,,
,Peter J. Pronovost,,,,,
,Peter Michael Hill,,,,,
NeXt generation/dynamic spectrum access/cognitive radio wireless networks: A survey,Ian F. Akyildiz,Computer Networks,2006,370,384,http://doi.org/10.1016/j.comnet.2006.05.001
,Mehmet C. Vuran,,,,,
,Shantidev Mohanty,,,,,
,Won-Yeol Lee,,,,,
NeXt generation/dynamic spectrum access/cognitive radio wireless networks: A survey,Ian F. Akyildiz,Computer Networks,2006,370,384,http://doi.org/10.1016/j.comnet.2006.05.001
,Mehmet C. Vuran,,,,,
,Shantidev Mohanty,,,,,
,Won-Yeol Lee,,,,,
Next Place Prediction Based on Spatiotemporal Pattern Mining of Mobile Device Logs,Jonghun Park,Sensors,2016,,6,https://pdfs.semanticscholar.org/9816/fff4b8f70cf767c3dd6b29fbb685aadb3e66.pdf
,Junseok Lim,,,,,
,Kwanho Kim,,,,,
,Sung Jun Lee,,,,,
Next generation restoration genetics: applications and opportunities.,Anna Virginia Williams,Trends in plant science,2014,3,9,https://www.ncbi.nlm.nih.gov/pubmed/24767982
,Paul G Nevill,,,,,
,Siegfried L. Krauss,,,,,
Next generation restoration genetics: applications and opportunities.,Anna Virginia Williams,Trends in plant science,2014,3,9,https://www.ncbi.nlm.nih.gov/pubmed/24767982
,Paul G Nevill,,,,,
,Siegfried L. Krauss,,,,,
Next place prediction using mobility Markov chains,Marc-Olivier Killijian,MPM '12,2012,10,49,http://dl.acm.org/citation.cfm?id=2181199
,Miguel N&#250;&#241;ez del Prado Cortez,,,,,
,S&#233;bastien Gambs,,,,,
Next-generation sequencing for mitochondrial disorders.,Anu Suomalainen,British journal of pharmacology,2014,1,,https://www.ncbi.nlm.nih.gov/pubmed/24138576
,Christopher J. Carroll,,,,,
,Virgínia V. B. Biris Brilhante,,,,,
Next-generation sequencing for mitochondrial disorders.,Anu Suomalainen,British journal of pharmacology,2014,1,,https://www.ncbi.nlm.nih.gov/pubmed/24138576
,Christopher J. Carroll,,,,,
,Virgínia V. B. Biris Brilhante,,,,,
Panel-Based Population Next-Generation Sequencing for Inherited Retinal Degenerations,Emma Duignan,Scientific reports,2016,,6,https://pdfs.semanticscholar.org/31b2/d6a1a199df47bc37dc175c0e5ad7d8945db8.pdf
,G. Jane Farrar,,,,,
,Matthew Carrigan,,,,,
Patients' ratings of outpatient visits in different practice settings. Results from the Medical Outcomes Study.,Barbara L. Gandek,JAMA,1993,6,,https://www.ncbi.nlm.nih.gov/pubmed/8340982
,Colleen A. McHorney,,,,,
,Haya R. Rubin,,,,,
,John E. Ware,,,,,
,Mark Kosinski,,,,,
,William H. Rogers,,,,,
Personalized Ranking Metric Embedding for Next New POI Recommendation,Gao Cong,IJCAI,2015,17,38,https://pdfs.semanticscholar.org/d0ca/f22825647365a86ae4bf8749cfbe48789a8c.pdf
,Quan Yuan,,,,,
,Shanshan Feng,,,,,
,Xutao Li,,,,,
,Yeow Meng Chee,,,,,
,Yifeng Zeng,,,,,
Personalized Ranking Metric Embedding for Next New POI Recommendation,Gao Cong,IJCAI,2015,17,38,https://pdfs.semanticscholar.org/d0ca/f22825647365a86ae4bf8749cfbe48789a8c.pdf
,Quan Yuan,,,,,
,Shanshan Feng,,,,,
,Xutao Li,,,,,
,Yeow Meng Chee,,,,,
,Yifeng Zeng,,,,,
"Personalized trip recommendation for tourists based on user interests, points of interest visit durations and visit recency",Christopher Leckie,Knowledge and Information Systems,2017,,,http://doi.org/10.1007/s10115-017-1056-y
,Jeffrey Chan,,,,,
,Kwan Hui Lim,,,,,
,Shanika Karunasekera,,,,,
Predicting Asthma-Related Emergency Department Visits Using Big Data,Max Williams,IEEE Journal of Biomedical and Health Informatics,2015,3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7045443
,Sudha Ram,,,,,
,Wenli Zhang,,,,,
,Yolande Pengetnze,,,,,
Predicting Emergency Department Visits,Nigam Haresh Shah,CRI,2016,1,,https://pdfs.semanticscholar.org/df59/50edfd74b572178db8af2d7c84ca6ff1c67b.pdf
,Sarah F. Poole,,,,,
,Shaun J. Grannis,,,,,
Predicting Emergency Department Visits,Nigam Haresh Shah,CRI,2016,1,,https://pdfs.semanticscholar.org/df59/50edfd74b572178db8af2d7c84ca6ff1c67b.pdf
,Sarah F. Poole,,,,,
,Shaun J. Grannis,,,,,
Predicting Next Location of Twitter Users for Surveillance,Sedef Gunduz,2013 12th International Conference on Machine…,2013,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6786119
,Seref Sagiroglu,,,,,
,Uraz Yavanoglu,,,,,
Predicting Web Information Content,Gerald Häubl,ITWP,2003,,,https://pdfs.semanticscholar.org/7680/caffc5516ba93831da10d43476d2e4c657e8.pdf
,Robert Price,,,,,
,Russell Greiner,,,,,
,Tingshao Zhu,,,,,
Predicting Your Next OLAP Query Based on Recent Analytical Sessions,Marie-Aude Aufaure,DaWaK,2013,,,https://pdfs.semanticscholar.org/47f0/f891fe1ce8e60f26d08293ce49fdeb343036.pdf
,Nicolas Kuchmann-Beauger,,,,,
,Patrick Marcel,,,,,
,Stefano Rizzi,,,,,
,Yves Vanrompay,,,,,
Predicting Your Next Stop-over from Location-based Social Network Data with Recurrent Neural Networks,Elena Baralis,RecTour@RecSys,2017,,,https://pdfs.semanticscholar.org/bd2c/f744a26b8f26b92c1d1e56f9fa6b434fa120.pdf
,Enrico Palumbo,,,,,
,Guiseppe Rizzo,,,,,
,Raphaël Troncy,,,,,
Predicting functional effect of human missense mutations using PolyPhen-2.,Daniel M. Jordan,Current protocols in human genetics,2013,83,,https://pdfs.semanticscholar.org/b882/c40ab90d74f53337aecb95981b5b09f1a884.pdf
,Ivan A. Adzhubei,,,,,
,Shamil R. Sunyaev,,,,,
"Predicting mental conditions based on ""history of present illness"" in psychiatric notes with deep neural networks.",Ramakanth Kavuluru,Journal of biomedical informatics,2017,,363,https://www.ncbi.nlm.nih.gov/pubmed/28606869
,Tung Tran,,,,,
Predicting next location using a variable order Markov model,Jian Xu,IWGS,2014,,,http://dl.acm.org/citation.cfm?id=2676557
,Jie Yang,,,,,
,Ming Xu,,,,,
,Ning Zheng,,,,,
,Yu Chen,,,,,
Predicting next location using a variable order Markov model,Jian Xu,IWGS,2014,,,http://dl.acm.org/citation.cfm?id=2676557
,Jie Yang,,,,,
,Ming Xu,,,,,
,Ning Zheng,,,,,
,Yu Chen,,,,,
Predicting next network cell IDs for moving users with Discriminative and Generative Models,Stefan Michaelis,,2012,,,https://pdfs.semanticscholar.org/9a1e/c34dcc7aa1d063fd66af32634dc8192b639e.pdf
Predicting online-purchasing behaviour,Dirk Van den Poel,European Journal of Operational Research,2005,8,14,http://doi.org/10.1016/j.ejor.2004.04.022
,Wouter Buckinx,,,,,
Predicting paediatric asthma hospital admissions and ED visits,C. Blaisdell,Neural Computing & Applications,2003,,,http://doi.org/10.1007/s00521-003-0366-z
,D. Kimes,,,,,
,E. Levine,,,,,
,M. E. Bollinger,,,,,
,R. Nelson,,,,,
,Simon Weiß,,,,,
Predicting species distribution : offering more than simple habitat models,Antoine Guisan,,,88,229,https://pdfs.semanticscholar.org/f67c/b6025de5ee7991765c25a445304becd18221.pdf
,Wilfried Thuiller,,,,,
Predicting suicides after outpatient mental health visits in the Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS),Murray B. Stein,Molecular Psychiatry,2016,1,,http://doi.org/10.1038/mp.2016.110
,Robert J. Ursano,,,,,
,Ronald C Kessler,,,,,
Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,Liang Wang,AAAI,2016,17,43,https://pdfs.semanticscholar.org/5bdf/0970034d0bb8a218c06ba3f2ddf97d29103d.pdf
,Qiang Liu,,,,,
,Shu Wu,,,,,
,Tieniu Tan,,,,,
Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,Liang Wang,AAAI,2016,17,43,https://pdfs.semanticscholar.org/5bdf/0970034d0bb8a218c06ba3f2ddf97d29103d.pdf
,Qiang Liu,,,,,
,Shu Wu,,,,,
,Tieniu Tan,,,,,
Predicting the next influenza virus.,Robert James Webster,Science,2012,,,https://www.ncbi.nlm.nih.gov/pubmed/22879481
,Scott Krauss,,,,,
Predicting the next move: Determining mobile user location using semantic information,Chid Kollengode,2015 International Conference on Advances in…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7275971
,Dinkar Sitaram,,,,,
,Gautham V. Kidiyoor,,,,,
,K. S. VarunS.,,,,,
,Nitin Bhyri,,,,,
,Subramaniam Kalambur,,,,,
Predicting the next turn at road junction from big traffic data,Kyungeun Cho,The Journal of Supercomputing,2017,,,http://doi.org/10.1007/s11227-017-2013-y
,Meng Yuan,,,,,
,Raymond K. Wong,,,,,
,Simon Fong,,,,,
,Yan Zhuang,,,,,
,Yunsick Sung,,,,,
Prediction of places of visit using tweets,Arun Chauhan,Knowledge and Information Systems,2016,,,http://doi.org/10.1007/s10115-016-0936-x
,Durga Toshniwal,,,,,
,Krishna Kummamuru,,,,,
Predictors of condom acquisition after an STD clinic visit.,Alexi San Doval,Family planning perspectives,1995,,,https://pdfs.semanticscholar.org/bd18/55f5218be537de58e9e174ce3f16d6b9d2b1.pdf
,C R O'donnell,,,,,
,Lydia N. O'Donnell,,,,,
,Richard Duran,,,,,
Predictors of condom acquisition after an STD clinic visit.,Alexi San Doval,Family planning perspectives,1995,,,https://pdfs.semanticscholar.org/bd18/55f5218be537de58e9e174ce3f16d6b9d2b1.pdf
,C R O'donnell,,,,,
,Lydia N. O'Donnell,,,,,
,Richard Duran,,,,,
