Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
DeepMob: Learning Deep Knowledge of Human Emergency Behavior and Mobility from Big and Heterogeneous Data,Nicholos Jing Yuan,ACM Trans. Inf. Syst.,2017,,,http://dl.acm.org/citation.cfm?id=3057280
,Ryosuke Shibasaki,,,,,
,Ryutaro Adachi,,,,,
,Tao Li,,,,,
,Xing Xie,,,,,
,Xuan Song,,,,,
Discovering regions of different functions in a city using human mobility and POIs,Jing Yuan,KDD,2012,27,114,http://dl.acm.org/citation.cfm?id=2339561
,Xing Xie,,,,,
,Yu Zheng,,,,,
Energy-Efficient Crowdsensing of Human Mobility and Signal Levels in Cellular Networks,Konrad Polys,Sensors,2015,,8,https://pdfs.semanticscholar.org/3473/c95474b457d43b2d160ec8f1824d90c0da07.pdf
,Krzysztof Grochla,,,,,
,Michal Gorawski,,,,,
,Pawel Foremski,,,,,
Evaluating Mobility Models within an Ad Hoc Network,Vanessa Davies,,2000,21,9,
Evolution of Human Parental Behavior and the Human Family,David C. Geary,,2001,4,,https://pdfs.semanticscholar.org/1dfb/bc257b075b6dfc7eb22d67ad13f0da722385.pdf
,Mark V. Flinn,,,,,
Extracting a Mobility Model from Real User Traces,David Kotz,Proceedings IEEE INFOCOM 2006. 25TH IEEE…,2006,39,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4146826
,Minkyong Kim,,,,,
,Songkuk Kim,,,,,
Friendship and mobility: user movement in location-based social networks,Eunjoon Cho,KDD,2011,200,314,http://dl.acm.org/citation.cfm?id=2020579
,Jure Leskovec,,,,,
,Seth A. Myers,,,,,
GMove: Group-Level Mobility Modeling Using Geo-Tagged Social Media,Chao Zhang,KDD,2016,,15,http://dl.acm.org/citation.cfm?id=2939793
,Jiawei Han,,,,,
,Keyang Zhang,,,,,
,Luming Zhang,,,,,
,Quan Yuan,,,,,
,Tim Hanratty,,,,,
Geo-located Twitter as proxy for global mobility patterns,Bartosz Hawelka,Cartography and geographic information science,2014,16,57,https://arxiv.org/pdf/1311.0680.pdf
,Carlo Ratti,,,,,
,Euro Beinat,,,,,
,Izabela Sitko,,,,,
,Pavlos Kazakopoulos,,,,,
,Stanislav Sobolevsky,,,,,
Heterogeneous Community-Based Mobility Model for Human Opportunistic Network,Lars Dittmann,2009 IEEE International Conference on Wireless…,2009,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5325282
,Liang Hu,,,,,
High-mobility group box-1 was released actively and involved in LPS induced depressive-like behavior.,Lei Liu,Journal of psychiatric research,2015,1,28,https://www.ncbi.nlm.nih.gov/pubmed/25795092
,Teng-Yun Wu,,,,,
,Y Wang,,,,,
Human Mobility Modelling: Exploration and Preferential Return Meet the Gravity Model,Filippo Simini,ANT/SEIT,2016,,,http://doi.org/10.1016/j.procs.2016.04.188
,Luca Pappalardo,,,,,
,Salvatore Rinzivillo,,,,,
Human Mobility Modelling: Exploration and Preferential Return Meet the Gravity Model,Filippo Simini,ANT/SEIT,2016,,,http://doi.org/10.1016/j.procs.2016.04.188
,Luca Pappalardo,,,,,
,Salvatore Rinzivillo,,,,,
Human Mobility Patterns Modelling using CDRs,Cyrille Bertelle,ArXiv,2016,,,https://arxiv.org/pdf/1807.04868.pdf
,Loay E. George,,,,,
,Suhad Faisal Behadili,,,,,
Human Mobility Patterns Modelling using CDRs,Cyrille Bertelle,ArXiv,2016,,,https://arxiv.org/pdf/1807.04868.pdf
,Loay E. George,,,,,
,Suhad Faisal Behadili,,,,,
Human Mobility and Spatial Disease Dynamics,Alejandro Morales Gallardo,,2009,,,https://pdfs.semanticscholar.org/3b77/c8873719fb0313f5629c045bf2d4a3434e4c.pdf
,Dirk Brockmann,,,,,
,V. David,,,,,
Human mobility characterization from cellular network data,Chris Volinsky,Commun. ACM,2013,5,33,http://dl.acm.org/citation.cfm?id=2398375
,Ramón Cáceres,,,,,
,Richard A. Becker,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
Human mobility model based on time-varying bipartite graph,Matteo Zignani,2011 IEEE International Symposium on a World of…,2011,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5986376
Human mobility modeling at metropolitan scales,Richard A. Becker,MobiSys,2012,11,36,http://dl.acm.org/citation.cfm?id=2307659
,Sibren Isaacman,,,,,
,Walter Willinger,,,,,
Human mobility models for opportunistic networks,Andrea Passarella,IEEE Communications Magazine,2011,5,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6094021
,Chiara Boldrini,,,,,
,Dmytro Karamshuk,,,,,
,Marco Conti,,,,,
Human mobility models for opportunistic networks,Andrea Passarella,IEEE Communications Magazine,2011,5,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6094021
,Chiara Boldrini,,,,,
,Dmytro Karamshuk,,,,,
,Marco Conti,,,,,
Human mobility synthesis using matrix and tensor factorizations,Chen Yu,Information Fusion,2015,,6,http://doi.org/10.1016/j.inffus.2014.05.005
,Dezhong Yao,,,,,
,Hai Jin,,,,,
,Qiang Ding,,,,,
"Human mobility, social ties, and link prediction",Albert-László Barabási,KDD,2011,28,70,http://dl.acm.org/citation.cfm?id=2020581
,Chaoming Song,,,,,
,Dashun Wang,,,,,
,Dino Pedreschi,,,,,
,Fosca Giannotti,,,,,
Identifying Malaria Transmission Foci for Elimination Using Human Mobility Data,David L. Smith,PLoS Computational Biology,2016,,9,https://pdfs.semanticscholar.org/c7ed/fc72804e7d9b38ddcf562df4e4958f0c19d5.pdf
,Nick Warren Ruktanonchai,,,,,
,Patrick De Leenheer,,,,,
Impact of Human Mobility on Opportunistic Forwarding Algorithms,Augustin Chaintreau,IEEE Transactions on Mobile Computing,2007,70,73,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4161914
,Christophe Diot,,,,,
,James M Scott,,,,,
,Jon A Crowcroft,,,,,
,Pan Hui,,,,,
,Richard Gass,,,,,
Impact of Human Mobility on the Design of Opportunistic Forwarding Algorithms,Augustin Chaintreau,Proceedings IEEE INFOCOM 2006. 25TH IEEE…,2006,76,10,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4146825
,Christophe Diot,,,,,
,James M Scott,,,,,
,Jon A Crowcroft,,,,,
,Pan Hui,,,,,
,Richard Gass,,,,,
Impact of human mobility on social networks,Chaoming Song,Journal of Communications and Networks,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7104838
,Dashun Wang,,,,,
Impact of human mobility on the emergence of dengue epidemics in Pakistan.,A. P. Wesolowski,Proceedings of the National Academy of Sciences…,2015,3,38,https://pdfs.semanticscholar.org/cd39/84dc3f7ab8431b6b3dd7abb4f0a494e581a8.pdf
,Caroline O. Buckee,,,,,
,Taimur A. Qureshi,,,,,
Influence of sociodemographic characteristics on human mobility,José J. Ramasco,Scientific reports,2015,1,,https://arxiv.org/pdf/1411.7895.pdf
,Maxime Lenormand,,,,,
,Thomas Louail,,,,,
Intelligent bus routing with heterogeneous human mobility patterns,Chuanren Liu,Knowledge and Information Systems,2016,,5,http://doi.org/10.1007/s10115-016-0948-6
,Junjie Wu,,,,,
,Yanchi Liu,,,,,
Life history theory and human reproductive behavior : Environmental/contextual influences and heritable variation.,Kevin Macdonald,Human nature,1997,1,,https://www.ncbi.nlm.nih.gov/pubmed/26197164
Limits of predictability in human mobility.,Albert-László Barabási,Science,2010,94,301,https://pdfs.semanticscholar.org/af2e/30f31e486f5a0f4c072ce3347f83ad3e9daa.pdf
,Chaoming Song,,,,,
,Nicholas Blumm,,,,,
,Zehui Qu,,,,,
"Linking brain, mind and behavior.",Howard Poizner,International journal of psychophysiology…,2009,4,,https://www.ncbi.nlm.nih.gov/pubmed/19414039
,Klaus Gramann,,,,,
,Scott Makeig,,,,,
,Terrence J. Sejnowski,,,,,
,Tzyy-Ping Jung,,,,,
Long-range temporal correlations and scaling behavior in human brain oscillations.,J. Matias Palva,The Journal of neuroscience : the official…,2001,39,,https://pdfs.semanticscholar.org/8e93/51c8ad6406e46eeb1b877f56db96194186ef.pdf
,Klaus Linkenkaer-Hansen,,,,,
,Risto J. Ilmoniemi,,,,,
,Vadim V. Nikouline,,,,,
Mask Based Mobility Model A new mobility model with smooth trajectories,Alexandre Caminada,2007 5th International Symposium on Modeling and…,2007,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4480072
,Chibli Joumaa,,,,,
,Sid Lamrous,,,,,
Mining human mobility patterns from social geo-tagged data,Carmela Comito,Pervasive and Mobile Computing,2016,,57,http://doi.org/10.1016/j.pmcj.2016.06.005
,Deborah Falcone,,,,,
,Domenico Talia,,,,,
Mobile big-data-driven rating framework: measuring the relationship between human mobility and app usage behavior,Jiajia Liu,IEEE Network,2016,,7,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7474339
,Jie Yang,,,,,
,Xiao-Xing Zhao,,,,,
,Yuanyuan Qiao,,,,,
Mobility Models for Ad Hoc Networks,Mihail L. Sichitiu,,2008,6,,https://pdfs.semanticscholar.org/2138/4c4a12371625c0536136ca345a38798892e9.pdf
"Mobility Models, Traces and Impact of Mobility on Opportunistic Routing Algorithms: A Survey",Parama Bhaumik,IEEE Communications Surveys & Tutorials,2015,5,16,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7080887
,Suvadip Batabyal,,,,,
Mobility model for Body Area Networks of soccer players,Daniele Domenicali,The 3rd European Wireless Technology Conference,2010,,42,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5615204
,Luca De Nardis,,,,,
,M.-G. Di Benedetto,,,,,
"Mobility modeling, location tracking, and trajectory prediction in wireless ATM networks",Imrich Chlamtac,IEEE Journal on Selected Areas in Communications,1998,41,10,https://pdfs.semanticscholar.org/ddd1/206822f9d9c2478fcf50fd9fb1388d371dd4.pdf
,Kunrui Tong,,,,,
,Paramvir Bahl,,,,,
Mobility models for vehicular ad hoc networks: a survey and taxonomy,Christian Bonnet,IEEE Communications Surveys & Tutorials,2009,22,73,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5343061
,Fethi Filali,,,,,
,Jerome Haerri,,,,,
Mobility models for vehicular ad hoc networks: a survey and taxonomy,Christian Bonnet,IEEE Communications Surveys & Tutorials,2009,22,73,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5343061
,Fethi Filali,,,,,
,Jerome Haerri,,,,,
Mobility of plasmids.,Chris Smillie,Microbiology and molecular biology reviews : MMBR,2010,17,,https://pdfs.semanticscholar.org/1569/b83db40efdee181d147cdde41d6dfdd74355.pdf
,Eduardo P. C. Rocha,,,,,
,F Sebastián de la Cruz,,,,,
,Maria del Pilar Garcillán-Barcia,,,,,
,María Victoria Francia,,,,,
Mobility-Aware Application Scheduling in Fog Computing,Javier Diaz Montes,IEEE Cloud Computing,2017,2,33,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7912261
,Luiz Fernando Bittencourt,,,,,
,Manish Parashar,,,,,
,Omer F. Rana,,,,,
,Rajkumar Buyya,,,,,
Modeling human decisions in coupled human and natural systems : Review of agent-based models,Li An,,2012,18,31,https://pdfs.semanticscholar.org/6bf6/879fb7405c9706bbd381fa3861b69aeeda8d.pdf
Modelling Primate Behavioral Ecology,Robin I M Dunbar,International Journal of Primatology,2004,,,http://doi.org/10.1023/A%3A1015576915296
Modelling human mobility patterns using photographic data shared online,Daniele Barchiesi,Royal Society open science,2015,,,https://pdfs.semanticscholar.org/72a0/fc1827e8c2a37ea0252553e195d82195bf9b.pdf
,Helen Susannah Moat,,,,,
,Steven Bishop,,,,,
,Tobias Preis,,,,,
Modelling human mobility patterns using photographic data shared online,Daniele Barchiesi,Royal Society open science,2015,,,https://pdfs.semanticscholar.org/72a0/fc1827e8c2a37ea0252553e195d82195bf9b.pdf
,Helen Susannah Moat,,,,,
,Steven Bishop,,,,,
,Tobias Preis,,,,,
Modelling individual routines and spatio-temporal trajectories in human mobility,Filippo Simini,ArXiv,2016,,,https://pdfs.semanticscholar.org/20f0/dfbf50504306894b59aafba1e7e8d96076de.pdf
,Luca Pappalardo,,,,,
Modelling individual routines and spatio-temporal trajectories in human mobility,Filippo Simini,ArXiv,2016,,,https://pdfs.semanticscholar.org/20f0/dfbf50504306894b59aafba1e7e8d96076de.pdf
,Luca Pappalardo,,,,,
Molecular psychogenetics of deviant aggressive behavior in humans,Vasiliy A. Vasilyev,Russian Journal of Genetics,2011,,,http://doi.org/10.1134/S1022795411080163
Money Walks: Implicit Mobility Behavior and Financial Well-Being,Alex Pentland,PloS one,2015,,6,https://pdfs.semanticscholar.org/beb1/1c18ae08ca4ab30dda1ca4c792e03191717b.pdf
,Burçin Bozkaya,,,,,
,Renaud Lambiotte,,,,,
,Vivek Kumar Singh,,,,,
Multiscale mobility networks and the spatial spreading of infectious diseases.,Alessandro Vespignani,Proceedings of the National Academy of Sciences…,2009,11,71,https://arxiv.org/pdf/0907.3304.pdf
,Bruno de Almeida Gonçalves,,,,,
,Duygu Balcan,,,,,
,Hao Hu,,,,,
,José J. Ramasco,,,,,
,Vittoria Colizza,,,,,
Natural human mobility patterns and spatial spread of infectious diseases,Dirk Brockmann,,2011,2,21,https://arxiv.org/pdf/1103.6224.pdf
,Theo Geisel,,,,,
,Vitaly Belik,,,,,
"New Challenges in Disaggregate Behavioral Modeling: Emotions, Investments and Mobility",T. Robin,,2011,,,https://pdfs.semanticscholar.org/8c60/5bb9f703c01c87bae7849594b4a8ad17bbcd.pdf
New paradigms towards the modelling of complex systems in behavioral economics,G. Ajmone Marsan,Mathematical and Computer Modelling,2009,,,http://doi.org/10.1016/j.mcm.2009.03.004
On Natural Mobility Models,Marcelo Dias de Amorim,WAC,2005,4,,https://pdfs.semanticscholar.org/6de4/29f05382f7a7e5022e801b043f44dd04d67a.pdf
,Serge Fdida,,,,,
,Vincent Borrel,,,,,
On the Inability of Markov Models to Capture Criticality in Human Mobility,Abhijit Mahalunkar,ArXiv,2018,,,https://arxiv.org/pdf/1807.11386.pdf
,Benoît Garbinato,,,,,
,John D. Kelleher,,,,,
,Vaibhav Kulkarni,,,,,
On the Use of Human Mobility Proxies for Modeling Epidemics,Michele Tizzoni,PLoS Computational Biology,2014,3,17,https://arxiv.org/pdf/1309.7272.pdf
,Paolo Bajardi,,,,,
,Vittoria Colizza,,,,,
On the Use of Human Mobility Proxies for Modeling Epidemics,Michele Tizzoni,PLoS Computational Biology,2014,3,17,https://arxiv.org/pdf/1309.7272.pdf
,Paolo Bajardi,,,,,
,Vittoria Colizza,,,,,
On the properties of human mobility,Gian Paolo Rossi,Computer Communications,2016,,,http://doi.org/10.1016/j.comcom.2016.03.022
,Karim Keramat Jahromi,,,,,
,Matteo Zignani,,,,,
,Michela Papandrea,,,,,
,Sabrina Gaito,,,,,
,Silvia Giordano,,,,,
Overview of cold regions mobility modeling at CRREL,James Lacombe,,2004,,,https://pdfs.semanticscholar.org/08a3/7f1f73f73366868b56624dd855f064355476.pdf
,Parkwood Way Richmond,,,,,
,S. A. Shoop,,,,,
Performance modelling of opportunistic forwarding under heterogenous mobility,Andrea Passarella,Computer Communications,2014,2,10,http://doi.org/10.1016/j.comcom.2014.03.028
,Chiara Boldrini,,,,,
,Marco Conti,,,,,
Pocket switched networks and human mobility in conference environments,Augustin Chaintreau,WDTN '05,2005,111,53,http://dl.acm.org/citation.cfm?id=1080142
,Christophe Diot,,,,,
,James M Scott,,,,,
,Jon A Crowcroft,,,,,
,Pan Hui,,,,,
,Richard Gass,,,,,
Predicting Human Mobility from Region Functions,Jun Gao,2016 IEEE International Conference on Internet of…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7917151
,Minjie Wang,,,,,
,Su Yang,,,,,
,Yi Sun,,,,,
Predicting human mobility through the assimilation of social media traces into mobility models,André Panisson,EPJ Data Science,2016,2,10,https://arxiv.org/pdf/1601.04560.pdf
,Ciro Cattuto,,,,,
,Mariano G. Beiró,,,,,
,Michele Tizzoni,,,,,
Predicting human mobility through the assimilation of social media traces into mobility models,André Panisson,EPJ Data Science,2016,2,10,https://arxiv.org/pdf/1601.04560.pdf
,Ciro Cattuto,,,,,
,Mariano G. Beiró,,,,,
,Michele Tizzoni,,,,,
Prediction of human emergency behavior and their mobility following large-scale disaster,Quanshi Zhang,KDD,2014,1,13,http://dl.acm.org/citation.cfm?id=2623628
,Ryosuke Shibasaki,,,,,
,Xuan Song,,,,,
,Yoshihide Sekimoto,,,,,
Prediction of urban human mobility using large-scale taxi traces and its applications,Gang Pan,Frontiers of Computer Science,2011,5,24,http://doi.org/10.1007/s11704-011-1192-6
,Xiaolong Li,,,,,
,Zonghui Wang,,,,,
Preference-based mobility model and the case for congestion relief in WLANs using ad hoc networks,Ahmed Helmy,"IEEE 60th Vehicular Technology Conference, 2004…",2004,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1400603
,Chih-hsin Hsu,,,,,
,Haw-wei Shu,,,,,
,K. Merchant,,,,,
,Wei-jen Hsu,,,,,
Probabilistic human mobility model in indoor environment,Bo Tang,2016 International Joint Conference on Neural…,2016,,,https://arxiv.org/pdf/1606.08528.pdf
,Chao Jiang,,,,,
,Haibo He,,,,,
,Yi Guo,,,,,
Probabilistic human mobility model in indoor environment,Bo Tang,2016 International Joint Conference on Neural…,2016,,,https://arxiv.org/pdf/1606.08528.pdf
,Chao Jiang,,,,,
,Haibo He,,,,,
,Yi Guo,,,,,
Quantifying the impact of human mobility on malaria.,Amy Wesolowski,Science,2012,6,80,https://www.ncbi.nlm.nih.gov/pubmed/23066082
,Caroline O. Buckee,,,,,
,Nathan Eagle,,,,,
Recovering Human Mobility Flow Models and Daily Routine Patterns in a Smart Environment,Li Chen,2014 IEEE International Conference on Data Mining…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7022643
,William Kwok-Wai Cheung,,,,,
Regularity and Conformity: Location Prediction Using Heterogeneous Mobility Data,Nicholas Jing Yuan,KDD,2015,4,28,http://dl.acm.org/citation.cfm?id=2783350
,Yingzi Wang,,,,,
,Yong Rui,,,,,
Review of Mobility Models for Performance Evaluation of Wireless Networks,Krzysztof Grochla,ICMMI,2013,,,https://pdfs.semanticscholar.org/2872/9fb8fcead7b78959b48cd47d7c1705d9cafc.pdf
,Michal Gorawski,,,,,
SLAW : A Mobility Model for Human Walks,Injong Rhee,,2009,27,,https://pdfs.semanticscholar.org/70a3/b5294b0157bd7b547b739568602de3be76e4.pdf
,Kyunghan Lee,,,,,
,Seong Joon Kim,,,,,
,Seongik Hong,,,,,
,Song Chong,,,,,
SLAW: A New Mobility Model for Human Walks,Injong Rhee,IEEE INFOCOM 2009,2009,42,52,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5061995
,Kyunghan Lee,,,,,
