Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Lifting the Predictability of Human Mobility on Activity Trajectories,Defu Lian,2015 IEEE International Conference on Data Mining…,2015,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7395785
,Guangzhong Sun,,,,,
,Xianming Li,,,,,
,Xing Xie,,,,,
Lifting the Predictability of Human Mobility on Activity Trajectories,Defu Lian,2015 IEEE International Conference on Data Mining…,2015,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7395785
,Guangzhong Sun,,,,,
,Xianming Li,,,,,
,Xing Xie,,,,,
Limits of Predictability for Large-Scale Urban Vehicular Mobility,Depeng Jin,IEEE Transactions on Intelligent Transportation…,2014,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6837495
,Pan Hui,,,,,
,Sheng Chen,,,,,
,Yong Li,,,,,
,Zhaocheng Wang,,,,,
Limits of Predictability for Large-Scale Urban Vehicular Mobility,Depeng Jin,IEEE Transactions on Intelligent Transportation…,2014,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6837495
,Pan Hui,,,,,
,Sheng Chen,,,,,
,Yong Li,,,,,
,Zhaocheng Wang,,,,,
Limits of predictability in human mobility.,Albert-László Barabási,Science,2010,94,301,https://pdfs.semanticscholar.org/af2e/30f31e486f5a0f4c072ce3347f83ad3e9daa.pdf
,Chaoming Song,,,,,
,Nicholas Blumm,,,,,
,Zehui Qu,,,,,
Location patterns and predictability of large scale urban vehicular mobility,Xiaoyan Kui,2014 IEEE Wireless Communications and Networking…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6952856
,XueFeng Xiao,,,,,
,Yong Li,,,,,
Mobility Increases Localizability: A Survey on Wireless Indoor Localization using Inertial Sensors,Chenshu Wu,ACM Comput. Surv.,2015,7,44,http://dl.acm.org/citation.cfm?id=2676430
,Xinglin Zhang,,,,,
,Xu Wang,,,,,
,Yunhao Liu,,,,,
,Zheng Yang,,,,,
,Zimu Zhou,,,,,
Modelling the scaling properties of human mobility,Albert-László Barabási,,2010,39,73,https://pdfs.semanticscholar.org/4ec6/d5e2300da16f0e007d5a72d5c9f12aacb989.pdf
,Chaoming Song,,,,,
,Tal Koren,,,,,
On human mobility predictability via WLAN logs,Adam C. Champion,IEEE INFOCOM 2017 - IEEE Conference on Computer…,2017,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8057234
,Dong Xuan,,,,,
,Gang Li,,,,,
,Paul Y. Cao,,,,,
,Steve Romig,,,,,
,Wei Zhao,,,,,
On human mobility predictability via WLAN logs,Adam C. Champion,IEEE INFOCOM 2017 - IEEE Conference on Computer…,2017,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8057234
,Dong Xuan,,,,,
,Gang Li,,,,,
,Paul Y. Cao,,,,,
,Steve Romig,,,,,
,Wei Zhao,,,,,
On the limits of predictability in real-world radio spectrum state dynamics: from entropy theory to 5G spectrum sharing,Guoru Ding,IEEE Communications Magazine,2015,,44,https://arxiv.org/pdf/1508.05348.pdf
,Jinlong Wang,,,,,
,Yulong Zou,,,,,
Particle filter for real-time human mobility prediction following unprecedented disaster,Akihito Sudo,SIGSPATIAL/GIS,2016,,,http://dl.acm.org/citation.cfm?id=2997000
,Takehiro Kashiyama,,,,,
,Yoshihide Sekimoto,,,,,
"Patterns, Entropy, and Predictability of Human Mobility and Life",Hannu Verkasalo,PloS one,2012,,,https://arxiv.org/pdf/1211.3934.pdf
,Mikael Mohtaschemi,,,,,
,Mikko Alava,,,,,
,Shaomeng Qin,,,,,
,Tuomo Hartonen,,,,,
Predictability of human mobility and its impact on forwarding,Jon A Crowcroft,2008 Third International Conference on…,2008,4,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4685085
,Pan Hui,,,,,
"Protocols, mobility models and tools in opportunistic networks: A survey",Antonio Alfredo Ferreira Loureiro,Computer Communications,2014,,12,http://doi.org/10.1016/j.comcom.2014.03.019
,Daniel F. Macedo,,,,,
,Felipe D. da Cunha,,,,,
,José Marcos S. Nogueira,,,,,
,Vinícius F. S. Mota,,,,,
Regularity and Conformity: Location Prediction Using Heterogeneous Mobility Data,Nicholas Jing Yuan,KDD,2015,4,28,http://dl.acm.org/citation.cfm?id=2783350
,Yingzi Wang,,,,,
,Yong Rui,,,,,
Regularity and Predictability of Human Mobility in Personal Space,Daniel Austin,PloS one,2014,1,,https://pdfs.semanticscholar.org/b92c/19d6d02dfd73288aa4b38f983219ffa5ba88.pdf
,Jeffrey Kaye,,,,,
,Robin M. Cross,,,,,
,Tamara Hayes,,,,,
Regularity and Predictability of Human Mobility in Personal Space,Daniel Austin,PloS one,2014,1,,https://pdfs.semanticscholar.org/b92c/19d6d02dfd73288aa4b38f983219ffa5ba88.pdf
,Jeffrey Kaye,,,,,
,Robin M. Cross,,,,,
,Tamara Hayes,,,,,
Returners and explorers dichotomy in human mobility,Albert-László Barabási,Nature communications,2015,1,40,https://pdfs.semanticscholar.org/4e24/1aff1f2bee5f247ab9a654869719c99b65b2.pdf
,Dino Pedreschi,,,,,
,Filippo Simini,,,,,
,Fosca Giannotti,,,,,
,Luca Pappalardo,,,,,
,Salvatore Rinzivillo,,,,,
SLAW : A Mobility Model for Human Walks,Injong Rhee,,2009,27,,https://pdfs.semanticscholar.org/70a3/b5294b0157bd7b547b739568602de3be76e4.pdf
,Kyunghan Lee,,,,,
,Seong Joon Kim,,,,,
,Seongik Hong,,,,,
,Song Chong,,,,,
Software architecture and mobility: A roadmap,George Edwards,Journal of Systems and Software,2010,,,http://doi.org/10.1016/j.jss.2009.11.004
,Nenad Medvidovic,,,,,
Supporting Serendipitous Social Interaction Using Human Mobility Prediction,Bin Guo,IEEE Transactions on Human-Machine Systems,2015,,59,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7160746
,Hui Wang,,,,,
,Tao Gu,,,,,
,Tao Mei,,,,,
,Zhiwen Yu,,,,,
The impact of biases in mobile phone ownership on estimates of human mobility.,Abdisalan M. Noor,"Journal of the Royal Society, Interface",2013,1,16,https://pdfs.semanticscholar.org/6ec3/4ca9aeca8646cadc151f0eb42b9e159ce898.pdf
,Amy Wesolowski,,,,,
,Caroline O. Buckee,,,,,
,Nathan Eagle,,,,,
,Robert W. Snow,,,,,
Toward link predictability of complex networks.,Harry Eugene Stanley,Proceedings of the National Academy of Sciences…,2015,8,32,https://pdfs.semanticscholar.org/ceee/653eb6e3c4b3422bf117d7839de987618988.pdf
,Liming Pan,,,,,
,Linyuan Lü,,,,,
,Tao Zhou,,,,,
,Yi-Cheng Zhang,,,,,
Tracking Human Mobility Using WiFi Signals,Arkadiusz Stopczynski,PloS one,2015,1,11,https://arxiv.org/pdf/1505.06311.pdf
,Piotr Sapiezynski,,,,,
,Radu Gatej,,,,,
,Sune Lehmann,,,,,
Understanding Human Mobility from Twitter,David Newth,PloS one,2015,7,25,https://arxiv.org/pdf/1412.2154.pdf
,Jiajun Liu,,,,,
,Kun Zhao,,,,,
,Mark A. Cameron,,,,,
,Maurice AbouJaoude,,,,,
,Raja Jurdak,,,,,
Understanding predictability and exploration in human mobility,Andrea Cuttone,EPJ Data Science,2017,1,,https://arxiv.org/pdf/1608.01939.pdf
,Marta C. González,,,,,
,Sune Lehmann,,,,,
Unique in the Crowd: The privacy bounds of human mobility,César A. Hidalgo,Scientific reports,2013,30,181,https://pdfs.semanticscholar.org/c27c/43b0ca1ad6c088d8e2e900152319fe80f700.pdf
,Michel Verleysen,,,,,
,Vincent D. Blondel,,,,,
,Yves-Alexandre de Montjoye,,,,,
Universal predictability of mobility patterns in cities.,Chen Liang Zhao,"Journal of the Royal Society, Interface",2014,2,11,https://pdfs.semanticscholar.org/b51b/93702a8c3ecc058984f13f5ac9af930c7946.pdf
,Wen-Xu Wang,,,,,
,Xiao-Yong Yan,,,,,
,Ying Fan,,,,,
,Zengru Di,,,,,
Unravelling daily human mobility motifs.,Christian M. Schneider,"Journal of the Royal Society, Interface",2013,10,40,https://pdfs.semanticscholar.org/9374/3338af9f7c1f074ccc0ea9d10b9b557bcc8b.pdf
,Marta C. González,,,,,
,Thomas Couronné,,,,,
,Vitaly Belik,,,,,
,Zbigniew Smoreda,,,,,
Urban human mobility data mining: An overview,Huy T. Vo,2016 IEEE International Conference on Big Data…,2016,,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7840811
,Kai Zhao,,,,,
,Sasu Tarkoma,,,,,
,Siyuan Liu,,,,,
User Mobility Evaluation for 5G Small Cell Networks Based on Individual Mobility Model,Junliang Ye,IEEE Journal on Selected Areas in Communications,2016,1,46,https://arxiv.org/pdf/1512.03149.pdf
,Qiang Li,,,,,
,Xiaohu Ge,,,,,
,Yang Yang,,,,,
Using Google Location History data to quantify fine-scale human mobility,Andrew J. Tatem,International journal of health geographics,2018,,,https://pdfs.semanticscholar.org/321f/14b42c09cbebd367f65f15d83aeb3ad5674b.pdf
,Corrine W. Ruktanonchai,,,,,
,Jessica Rhona Floyd,,,,,
,Nick Warren Ruktanonchai,,,,,
