Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
,Mika Raento,,,,,
An overview on predicting the subcellular location of a protein,Zhi-Ping Feng,In Silico Biology,2002,1,,https://pdfs.semanticscholar.org/2f3c/01b2faa3bb5063be0ee4df2218a857ea2455.pdf
Bayesian Filtering for Location Estimation,Dieter Fox,IEEE Pervasive Computing,2003,26,27,https://pdfs.semanticscholar.org/1571/ca5518fc2b544c60ac1e2e32da6cf2ba5b66.pdf
,Dirk Schulz,,,,,
,Gaetano Borriello,,,,,
,Jeffrey Hightower,,,,,
,Lin Liao,,,,,
Bayesian Filtering for Location Estimation,Dieter Fox,IEEE Pervasive Computing,2003,26,27,https://pdfs.semanticscholar.org/1571/ca5518fc2b544c60ac1e2e32da6cf2ba5b66.pdf
,Dirk Schulz,,,,,
,Gaetano Borriello,,,,,
,Jeffrey Hightower,,,,,
,Lin Liao,,,,,
CEPR: A Collaborative Exploration and Periodically Returning Model for Location Prediction,Defu Lian,TIST,2015,6,13,http://dl.acm.org/citation.cfm?id=2629557
,Enhong Chen,,,,,
,Fuzheng Zhang,,,,,
,Nicholas Jing Yuan,,,,,
,Vincent W. Zheng,,,,,
,Xing Xie,,,,,
CHAPTER 2 Location Management in Cellular Networks,Jingyuan Zhang,,2002,,,https://pdfs.semanticscholar.org/e78d/ff268b996e4a77bc3918ca8f8ef79c59c790.pdf
Canonical Microcircuits for Predictive Coding,André M. Bastos,Neuron,2012,43,,https://www.sciencedirect.com/science/article/pii/S0896627312009592
,George R. Mangun,,,,,
,Karl J. Friston,,,,,
,Pascal Fries,,,,,
,Rick A. Adams,,,,,
,W Martin Usrey,,,,,
Comparison of Next-Generation Sequencing Systems,Lin Liu,Journal of biomedicine & biotechnology,2012,34,,https://pdfs.semanticscholar.org/b365/55e974fd8b37c8231c5bb9f6ef72281bdcff.pdf
,Maggie Law,,,,,
,Yinhu Li,,,,,
Comparison of Next-Generation Sequencing Systems,Lin Liu,Journal of biomedicine & biotechnology,2012,34,,https://pdfs.semanticscholar.org/b365/55e974fd8b37c8231c5bb9f6ef72281bdcff.pdf
,Maggie Law,,,,,
,Yinhu Li,,,,,
Comparison of different methods for next location prediction,Faruk Bagci,Euro-Par,2006,1,,http://doi.org/10.1007/11823285_96
,Jan Petzold,,,,,
,Theo Ungerer,,,,,
,Wolfgang Trumler,,,,,
Comprehensive Predictions of Tourists' Next Visit Location Based on Call Detail Records Using Machine Learning and Deep Learning Methods,Jenny Xie,2017 IEEE International Congress on Big Data…,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8029302
,Kent Larson,,,,,
,Nai Chun Chen,,,,,
,Roy E. Welsch,,,,,
,Wanqin Xie,,,,,
Computational methods for discovering structural variation with next-generation sequencing,Michael Brudno,Nature Methods,2009,26,,http://doi.org/10.1038/nmeth.1374
,Monica Stanciu,,,,,
,Paul Medvedev,,,,,
Covering models and optimization techniques for emergency response facility location and planning: a review,Tami Wyatt,Math. Meth. of OR,2011,4,26,https://pdfs.semanticscholar.org/8557/66861fecd2f0acced81b4c7c210617603244.pdf
,Xiaoyan Zhu,,,,,
,Xueping Li,,,,,
,Zhaoxia Zhao,,,,,
Current location-based next POI recommendation,Isaac K. E. Ampomah,WI,2017,,,http://dl.acm.org/citation.cfm?id=3106528
,Seyoung Park,,,,,
,Shokirkhon Oppokhonov,,,,,
Does the location of low back pain predict its source?,Brian S Trussell,"PM & R : the journal of injury, function, and…",2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21257131
,Curtis W. Slipman,,,,,
,Jessica McKinney Ketchum,,,,,
,Michael James Depalma,,,,,
,Thomas R. Saullo,,,,,
Encoding of spatial location by posterior parietal neurons.,Greg K. Essick,Science,1985,64,,https://pdfs.semanticscholar.org/f605/ef7a62b7872c0d70dc029c3c9ee6530bf8b5.pdf
,Ralph M. Siegel,,,,,
,Richard A. Andersen,,,,,
Endometrial thickness predicts intrauterine pregnancy in patients with pregnancy of unknown location.,Diane M. Twickler,Ultrasound in obstetrics & gynecology : the…,2008,1,,https://www.ncbi.nlm.nih.gov/pubmed/19035545
,Elysia Moschos,,,,,
Evaluating Next-Cell Predictors with Extensive Wi-Fi Mobility Data,David Kotz,IEEE Transactions on Mobile Computing,2006,15,18,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1717434
,Libo Song,,,,,
,Ravi Jain,,,,,
,Xiaoning He,,,,,
Evaluating location predictors with extensive Wi-Fi mobility data,David Kotz,IEEE INFOCOM 2004,2003,15,11,http://dl.acm.org/citation.cfm?id=965747
,Libo Song,,,,,
,Ravi Jain,,,,,
,Xiaoning He,,,,,
Exploring Millions of Footprints in Location Sharing Services,Daniel Z. Sui,ICWSM,2011,40,86,https://pdfs.semanticscholar.org/36f7/32b800f2e91c435cb9072786f6be8f85884c.pdf
,James Caverlee,,,,,
,Kyumin Lee,,,,,
,Zhiyuan Cheng,,,,,
Extending Data Mining for Spatial Applications: A Case Study in Predicting Nest Locations,Sanjay Chawla,ACM SIGMOD Workshop on Research Issues in Data…,2000,,,https://pdfs.semanticscholar.org/9047/c497db1a863d05940c5b26dfbbea2cdd6f06.pdf
,Shashi Shekhar,,,,,
,Uygar Ozesmi,,,,,
,Weili Wu,,,,,
Facility Location Under Uncertainty : A Review,Lawrence V. Snyder,,2004,19,31,https://pdfs.semanticscholar.org/1e25/eae4485abc016e1de062c11ec7a9210755e0.pdf
Factors predicting practice location and outreach consultation among University of Toronto psychiatry graduates.,Ava Rubin,Canadian journal of psychiatry. Revue canadienne…,2006,,,https://pdfs.semanticscholar.org/0512/6910cdabd61a5b7e41d75f24921e1c7f5f95.pdf
,Brian D Hodges,,,,,
,Edward M. Adlaf,,,,,
,Robert G Cooke,,,,,
,Sandy Parker,,,,,
Genome-wide genetic marker discovery and genotyping using next-generation sequencing,Jason Q. Boone,Nature Reviews Genetics,2011,61,,http://doi.org/10.1038/nrg3012
,John W Davey,,,,,
,Julian M Catchen,,,,,
,Mark L. Blaxter,,,,,
,Paul A Hohenlohe,,,,,
,Paul D. Etter,,,,,
Grid Coverage for Surveillance and Target Location in Distributed Sensor Networks,Eungchun Cho,IEEE Trans. Computers,2002,37,42,https://pdfs.semanticscholar.org/029f/28073ac385973c59331fc417e4178836182e.pdf
,Hairong Qi,,,,,
,Krishnendu Chakrabarty,,,,,
,S. Sitharama Iyengar,,,,,
Growing an organic indoor location system,Benjamin Charrow,MobiSys,2010,14,37,http://dl.acm.org/citation.cfm?id=1814461
,Jonathan Ledlie,,,,,
,Jun-geun Park,,,,,
Home Location Identification of Twitter Users,Clemens Drews,ACM TIST,2014,15,33,https://arxiv.org/pdf/1403.2345.pdf
,Jalal Mahmud,,,,,
,Jeffrey Nichols,,,,,
Hybrid Predictors for Next Location Prediction,Faruk Bagci,UIC,2006,1,,https://pdfs.semanticscholar.org/2441/19bb74713dd5fb16198ddc77678ab664b9fb.pdf
,Jan Petzold,,,,,
,Theo Ungerer,,,,,
,Wolfgang Trumler,,,,,
Indirect location recommendation,André Sabino,GIR,2014,,,http://dl.acm.org/citation.cfm?id=2675697
,Armanda Rodrigues,,,,,
Indoor Next Location Prediction with Wi-Fi,B Ang,,2014,,,https://pdfs.semanticscholar.org/0bba/cd2f01da2a5abdf3aa1ff3f68b7c9be758ed.pdf
,Daniel Dahlmeier,,,,,
,H. W. Mui,,,,,
Inferring and Exploiting Categories for Next Location Prediction,Ankita Likhyani,WWW,2015,,,http://dl.acm.org/citation.cfm?id=2742770
,P Deepak,,,,,
,Sameep Mehta,,,,,
,Srikanta J. Bedathur,,,,,
Integrated Discovery of Location Prediction Rules in Mobile Environment,Elahe Naserian,"2017 IEEE 15th Intl Conf on Dependable, Autonomic…",2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8328511
,Kaizhu Huang,,,,,
,Nektarios Georgalas,,,,,
,Xiaolong Xu,,,,,
,Xinheng Wang,,,,,
,Yuning Dong,,,,,
Intelligent Location Models for Next Generation Location-Based Systems,Allison Kealy,,2007,,,https://pdfs.semanticscholar.org/e7f4/7e8e1655aa96bf01168fc5db7497cbe54c53.pdf
,Günther Retscher,,,,,
,Stephan Winter,,,,,
LARS*: An Efficient and Scalable Location-Aware Recommender System,Ahmed Eldawy,IEEE Transactions on Knowledge and Data…,2014,6,24,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6427747
,Justin J. Levandoski,,,,,
,Mohamed F. Mokbel,,,,,
,Mohamed Sarwat,,,,,
LORE: exploiting sequential influence for location recommendations,Chi-Yin Chow,SIGSPATIAL/GIS,2014,7,33,http://dl.acm.org/citation.cfm?id=2666400
,Jia-Dong Zhang,,,,,
,Yanhua Li,,,,,
LTE-advanced: next-generation wireless broadband technology [Invited Paper],Amitava Ghosh,IEEE Wireless Communications,2010,57,85,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5490974
,Bishwarup Mondal,,,,,
,Nitin Mangalvedhe,,,,,
,Rapeepat Ratasuk,,,,,
,Timothy A. Thomas,,,,,
LTE-advanced: next-generation wireless broadband technology [Invited Paper],Amitava Ghosh,IEEE Wireless Communications,2010,57,85,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5490974
,Bishwarup Mondal,,,,,
,Nitin Mangalvedhe,,,,,
,Rapeepat Ratasuk,,,,,
,Timothy A. Thomas,,,,,
Learning Graph-based POI Embedding for Location-based Recommendation,Fanjiang Xu,CIKM,2016,3,39,http://dl.acm.org/citation.cfm?id=2983711
,Hao Wang,,,,,
,Hongzhi Yin,,,,,
,Min Xie,,,,,
,Sen Wang,,,,,
,Weitong Chen,,,,,
Learning Significant Locations and Predicting User Movement with GPS,Daniel Ashbrook,SEMWEB,2001,24,15,https://pdfs.semanticscholar.org/23ee/7d803347af97f431fd030baeaf464a3b0990.pdf
,Thad Starner,,,,,
Left-right asymmetry in gut development: what happens next?,Robert E Hill,BioEssays : news and reviews in molecular…,2009,1,29,https://www.ncbi.nlm.nih.gov/pubmed/19708022
,Sally F. Burn,,,,,
Location Management for Next-Generation Personal Communications Networks,Victor C. M. Leung,,2000,16,,https://pdfs.semanticscholar.org/761f/510e99108587d703ec1e24f1ce6739c460e0.pdf
,Vincent W.-S. Wong,,,,,
Location Management for Next-Generation Personal Communications Networks,Victor C. M. Leung,,2000,16,,https://pdfs.semanticscholar.org/761f/510e99108587d703ec1e24f1ce6739c460e0.pdf
,Vincent W.-S. Wong,,,,,
Location Privacy Protection for Smartphone Users,Kang G. Shin,ACM Conference on Computer and Communications…,2014,8,27,http://dl.acm.org/citation.cfm?id=2660270
,Kassem Fawaz,,,,,
Location Systems: An Introduction to the Technology Behind Location Awareness,Anthony LaMarca,Location Systems,2008,6,5,https://pdfs.semanticscholar.org/fa62/1ff4761325b04004666d3a4de1460a5b2d4a.pdf
,Eyal de Lara,,,,,
Location proteomics: systematic determination of protein subcellular location.,Juchang Hua,Methods in molecular biology,2009,2,,https://pdfs.semanticscholar.org/30c5/86c06b9eaf74f3bf8c8ecaa6d5dbf139349b.pdf
,Justin Newberg,,,,,
,Robert F. Murphy,,,,,
"Location-Aware Communications for 5G Networks: How location information can improve scalability, latency, and robustness of 5G",Dirk T. M. Slock,IEEE Signal Processing Magazine,2014,3,53,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6924849
,Henk Wymeersch,,,,,
,L. Srikar Muppirisetty,,,,,
,Rocco Di Taranto,,,,,
,Ronald Raulefs,,,,,
,Tommy Svensson,,,,,
"Location-Aware Communications for 5G Networks: How location information can improve scalability, latency, and robustness of 5G",Dirk T. M. Slock,IEEE Signal Processing Magazine,2014,3,53,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6924849
,Henk Wymeersch,,,,,
,L. Srikar Muppirisetty,,,,,
,Rocco Di Taranto,,,,,
,Ronald Raulefs,,,,,
,Tommy Svensson,,,,,
Machine Learning Paradigms for Next-Generation Wireless Networks,Chunxiao Jiang,IEEE Wireless Communications,2017,2,74,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7792374
,Haijun Zhang,,,,,
,Kwang-Cheng Chen,,,,,
,Lajos Hanzo Hanzo,,,,,
,Yong Ren,,,,,
,Zhu Han,,,,,
Machine Learning Paradigms for Next-Generation Wireless Networks,Chunxiao Jiang,IEEE Wireless Communications,2017,2,74,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7792374
,Haijun Zhang,,,,,
,Kwang-Cheng Chen,,,,,
,Lajos Hanzo Hanzo,,,,,
,Yong Ren,,,,,
,Zhu Han,,,,,
Marine chemical ecology : what ’ s known and what ’ s next ?,Mark E Hay,,2003,31,,https://pdfs.semanticscholar.org/2c05/b2c1de30a4a83173d5f804648fae9a573e0f.pdf
Massively parallel sequencing: the next big thing in genetic medicine.,Jan M Friedman,American journal of human genetics,2009,7,,https://www.ncbi.nlm.nih.gov/pubmed/19679224
,Marco A. Marra,,,,,
,Tracy Tucker,,,,,
Mining Object Similarity for Predicting Next Locations,Meng Chen,Journal of Computer Science and Technology,2016,,,http://doi.org/10.1007/s11390-016-1654-2
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining Object Similarity for Predicting Next Locations,Meng Chen,Journal of Computer Science and Technology,2016,,,http://doi.org/10.1007/s11390-016-1654-2
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining User Mobility Features for Next Place Prediction in Location-Based Services,Anastasios Noulas,2012 IEEE 12th International Conference on Data…,2012,14,39,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6413812
,Cecilia Mascolo,,,,,
,Neal Lathia,,,,,
,Salvatore Scellato,,,,,
Mining geographic-temporal-semantic patterns in trajectories for location prediction,Jia-Ching Ying,ACM TIST,2013,3,24,http://dl.acm.org/citation.cfm?id=2542184
,Vincent S. Tseng,,,,,
,Wang-Chien Lee,,,,,
Mining moving patterns for predicting next location,Meng Chen,Inf. Syst.,2015,,,http://doi.org/10.1016/j.is.2015.07.001
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining online footprints to predict user's next location,Qunying Huang,International Journal of Geographical Information…,2017,,,http://doi.org/10.1080/13658816.2016.1209506
Mining online footprints to predict user's next location,Qunying Huang,International Journal of Geographical Information…,2017,,,http://doi.org/10.1080/13658816.2016.1209506
Mobile Homophily and Social Location Prediction,Chakajkla Jesdabodi,ArXiv,2015,,,https://arxiv.org/pdf/1506.07763.pdf
,Georg Groh,,,,,
,Halgurt Bapierre,,,,,
Modeling Location-Based User Rating Profiles for Personalized Recommendation,Bin Cui,TKDD,2015,3,27,http://dl.acm.org/citation.cfm?id=2663356
,Chengqi Zhang,,,,,
,Hongzhi Yin,,,,,
,Ling Chen,,,,,
,Zhiting Hu,,,,,
Modeling User Activity Patterns for Next-Place Prediction,Chen Yu,IEEE Systems Journal,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7150318
,Qiang Ding,,,,,
,Yang Liu,,,,,
Multi-Context Integrated Deep Neural Network Model for Next Location Prediction,Haifeng Sun,IEEE Access,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8340154
,Jianxin Liao,,,,,
,Jingyu Wang,,,,,
,Meilian Liu,,,,,
,Tongcun Liu,,,,,
,Yulong Wang,,,,,
Multiuser MIMO-OFDM for Next-Generation Wireless Systems,Lajos Hanzo Hanzo,Proceedings of the IEEE,2007,35,26,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4287201
,Ming Jiang,,,,,
Next Location Prediction Within a Smart Office Building,Faruk Bagci,,2005,5,,https://pdfs.semanticscholar.org/58f4/649c65559ee694e7085f2c4072ccedf14e21.pdf
,Jan Petzold,,,,,
,Theo Ungerer,,,,,
,Wolfgang Trumler,,,,,
Next Place Prediction Based on Spatiotemporal Pattern Mining of Mobile Device Logs,Jonghun Park,Sensors,2016,,6,https://pdfs.semanticscholar.org/9816/fff4b8f70cf767c3dd6b29fbb685aadb3e66.pdf
,Junseok Lim,,,,,
,Kwanho Kim,,,,,
,Sung Jun Lee,,,,,
Next place prediction using mobility Markov chains,Marc-Olivier Killijian,MPM '12,2012,10,49,http://dl.acm.org/citation.cfm?id=2181199
,Miguel N&#250;&#241;ez del Prado Cortez,,,,,
,S&#233;bastien Gambs,,,,,
Next-generation DNA sequencing,Hanlee P. Ji,Nature Biotechnology,2008,82,,http://doi.org/10.1038/nbt1486
,Jay Shendure,,,,,
Next-generation DNA sequencing methods.,Elaine R. Mardis,Annual review of genomics and human genetics,2008,28,,https://pdfs.semanticscholar.org/77c6/f023652fdade82720d69f60dc2e3b43f5a95.pdf
Next-generation DNA sequencing methods.,Elaine R. Mardis,Annual review of genomics and human genetics,2008,28,,https://pdfs.semanticscholar.org/77c6/f023652fdade82720d69f60dc2e3b43f5a95.pdf
Next-generation genomics: an integrative approach,Bing Ren,Nature Reviews Genetics,2010,10,,http://doi.org/10.1038/nrg2795
,Gary Chung Hon,,,,,
,R. David Hawkins,,,,,
Next-generation sequencing and genome evolution in allopolyploids.,Douglas Edward Soltis,American journal of botany,2012,2,41,https://www.ncbi.nlm.nih.gov/pubmed/22268220
,Richard J A Buggs,,,,,
,Simon Renny-Byfield,,,,,
Next-generation sequencing for cancer diagnostics: a practical perspective.,Cliff J. Meldrum,The Clinical biochemist. Reviews,2011,5,,https://pdfs.semanticscholar.org/e8d6/d7f7e16e8b4b8bf2022231e69e4212c25857.pdf
,Maria A. Doyle,,,,,
,Richard W. Tothill,,,,,
Next-generation sequencing of vertebrate experimental organisms,Daniel J Turner,Mammalian Genome,2009,,,http://doi.org/10.1007/s00335-009-9187-4
,David J. Adams,,,,,
,Ian M Sudbery,,,,,
,Thomas M Keane,,,,,
Next-generation sequencing: from basic research to diagnostics.,Jacob Durtschi,Clinical chemistry,2009,7,,https://pdfs.semanticscholar.org/4d60/5e20e3c32581eb6594a7edbed42fb002c9b2.pdf
,Karl V. Voelkerding,,,,,
,Shale A Dames,,,,,
NextCell: Predicting Location Using Social Interplay from Cell Phone Traces,Daqiang Zhang,IEEE Transactions on Computers,2015,2,12,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6671589
,Daqing Zhang,,,,,
,Haoyi Xiong,,,,,
,Laurence Tianruo Yang,,,,,
,Vincent Gauthier,,,,,
Optimal Geo-Indistinguishable Mechanisms for Location Privacy,Catuscia Palamidessi,ACM Conference on Computer and Communications…,2014,15,48,https://arxiv.org/pdf/1402.5029.pdf
,Konstantinos Chatzikokolakis,,,,,
,Nicolás Emilio Bordenabe,,,,,
Organic Indoor Location Discovery,Jamey Hicks,,2008,3,,https://pdfs.semanticscholar.org/43e7/0bba95f44cde47942081eb91199c83f23e0a.pdf
,Jonathan Battat,,,,,
,Seth Teller,,,,,
"Pastry: Scalable, Decentralized Object Location, and Routing for Large-Scale Peer-to-Peer Systems",Antony I. T. Rowstron,Middleware,2001,524,84,https://pdfs.semanticscholar.org/de0e/3bbcf28f154a2121ff91788e067e15d0d1d1.pdf
,Peter Druschel,,,,,
Personalized Ranking Metric Embedding for Next New POI Recommendation,Gao Cong,IJCAI,2015,17,38,https://pdfs.semanticscholar.org/d0ca/f22825647365a86ae4bf8749cfbe48789a8c.pdf
,Quan Yuan,,,,,
,Shanshan Feng,,,,,
,Xutao Li,,,,,
,Yeow Meng Chee,,,,,
,Yifeng Zeng,,,,,
Phenomics: the next challenge,David Houle,Nature Reviews Genetics,2010,21,,http://doi.org/10.1038/nrg2897
,Diddahally R. Govindaraju,,,,,
,Stig W. Omholt,,,,,
PowerSpy: Location Tracking using Mobile Device Power Analysis,Aaron Schulman,USENIX Security Symposium,2015,4,27,https://arxiv.org/pdf/1502.03182.pdf
,Dan Boneh,,,,,
,Gabi Nakibly,,,,,
,Yan Michalevsky,,,,,
Predicting Bundles of Spatial Locations from Learning Revealed Preference Data,Hoong Chuin Lau,AAMAS,2015,,,https://pdfs.semanticscholar.org/b986/01798e730c27b54f0a8c705529ca7861bb6e.pdf
,Ramayya Krishnan,,,,,
,Siyuan Liu,,,,,
,Truc Viet Le,,,,,
Predicting Defects for Eclipse,Andreas Zeller,Third International Workshop on Predictor Models…,2007,76,59,http://dl.acm.org/citation.cfm?id=1269057
,Rahul Premraj,,,,,
,Thomas Zimmermann,,,,,
Predicting Future Locations and Arrival Times of Individuals,Ingrid Burbey,,2011,5,,https://pdfs.semanticscholar.org/03e0/2c22300605e41f4c3757d0cb7734d2523111.pdf
Predicting Locations in Tweets,Josiane Mothe,,2017,,,https://pdfs.semanticscholar.org/1a88/4eeeb2db38388b78f9dc0660ad9a0963cd8c.pdf
,T. Hoang,,,,,
,Véronique Moriceau,,,,,
Predicting Next Location of Twitter Users for Surveillance,Sedef Gunduz,2013 12th International Conference on Machine…,2013,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6786119
,Seref Sagiroglu,,,,,
,Uraz Yavanoglu,,,,,
Predicting Object Dynamics in Scenes,C. Lawrence Zitnick,2014 IEEE Conference on Computer Vision and…,2014,,24,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6909657
,David F. Fouhey,,,,,
Predicting User Locations and Trajectories,Eelco Herder,UMAP,2014,1,,https://pdfs.semanticscholar.org/077a/e228d5f96b25d229f69d47d71846a7b96ddb.pdf
,Patrick Siehndel,,,,,
,Ricardo Kawase,,,,,
Predicting Visitors Using Location-Based Social Networks,Felipe Soares Da Costa,2018 19th IEEE International Conference on Mobile…,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8411283
,Muhammad Aamir Saleem,,,,,
,Panagiotis Karras,,,,,
,Peter Dolog,,,,,
,Toon Calders,,,,,
,Torben Bach Pedersen,,,,,
Predicting Your Next Stop-over from Location-based Social Network Data with Recurrent Neural Networks,Elena Baralis,RecTour@RecSys,2017,,,https://pdfs.semanticscholar.org/bd2c/f744a26b8f26b92c1d1e56f9fa6b434fa120.pdf
,Enrico Palumbo,,,,,
,Guiseppe Rizzo,,,,,
,Raphaël Troncy,,,,,
Predicting antibiotic resistance,Dan I Andersson,Nature Reviews Microbiology,2007,2,,http://doi.org/10.1038/nrmicro1796
,Fernando Baquero,,,,,
,José L Martínez,,,,,
Predicting future locations using prediction-by-partial-match,Ingrid Burbey,MELT,2008,4,,http://dl.acm.org/citation.cfm?id=1410014
,Thomas L. Martin,,,,,
Predicting future locations with hidden Markov models,Bruno Martins,UbiComp,2012,16,72,http://dl.acm.org/citation.cfm?id=2370421
,Ruben Raposo,,,,,
,Wesley Mathew,,,,,
Predicting next location using a variable order Markov model,Jian Xu,IWGS,2014,,,http://dl.acm.org/citation.cfm?id=2676557
,Jie Yang,,,,,
,Ming Xu,,,,,
,Ning Zheng,,,,,
,Yu Chen,,,,,
Predicting next location using a variable order Markov model,Jian Xu,IWGS,2014,,,http://dl.acm.org/citation.cfm?id=2676557
,Jie Yang,,,,,
,Ming Xu,,,,,
,Ning Zheng,,,,,
,Yu Chen,,,,,
Predicting the Location and Time of Mobile Phone Users by Using Sequential Pattern Mining Techniques,Hasan Davulcu,Comput. J.,2016,,,https://pdfs.semanticscholar.org/5fed/f950ff028e82b373075af79a98d66f69f733.pdf
,Ilkcan Keles,,,,,
,Ismail Hakki Toroslu,,,,,
,Mert Ozer,,,,,
,Pinar Senkul,,,,,
Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,Liang Wang,AAAI,2016,17,43,https://pdfs.semanticscholar.org/5bdf/0970034d0bb8a218c06ba3f2ddf97d29103d.pdf
,Qiang Liu,,,,,
,Shu Wu,,,,,
,Tieniu Tan,,,,,
Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,Liang Wang,AAAI,2016,17,43,https://pdfs.semanticscholar.org/5bdf/0970034d0bb8a218c06ba3f2ddf97d29103d.pdf
,Qiang Liu,,,,,
,Shu Wu,,,,,
,Tieniu Tan,,,,,
Predicting the Users’ Next Location From WLAN Mobility Data,Gunnar Karlsson,2018 IEEE International Symposium on Local and…,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8475117
,Ljubica Pajevic,,,,,
,Viktoria Fodor,,,,,
Predicting the impacts of climate change on the distribution of species : are bioclimate envelope models useful ?,Richard G. Pearson,,2003,71,,https://pdfs.semanticscholar.org/01dc/8ecd99eb133222391bda6414682cddb928b4.pdf
,Terence P. Dawson,,,,,
Predicting the location and number of faults in large software systems,Elaine J. Weyuker,IEEE Transactions on Software Engineering,2005,47,40,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1435354
,Robert M. Bell,,,,,
,Thomas J. Ostrand,,,,,
Predicting the next location change and time of change for mobile phone users,Ilkcan Keles,MobiGIS,2014,,,http://dl.acm.org/citation.cfm?id=2675318
,Ismail Hakki Toroslu,,,,,
,Mert Ozer,,,,,
,Pinar Senkul,,,,,
,Salih Ergüt,,,,,
Predicting the next location change and time of change for mobile phone users,Ilkcan Keles,MobiGIS,2014,,,http://dl.acm.org/citation.cfm?id=2675318
,Ismail Hakki Toroslu,,,,,
,Mert Ozer,,,,,
,Pinar Senkul,,,,,
,Salih Ergüt,,,,,
Predicting the next move: Determining mobile user location using semantic information,Chid Kollengode,2015 International Conference on Advances in…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7275971
,Dinkar Sitaram,,,,,
,Gautham V. Kidiyoor,,,,,
,K. S. VarunS.,,,,,
,Nitin Bhyri,,,,,
,Subramaniam Kalambur,,,,,
