Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
"A Survey of Enabling Technologies for Network Localization, Tracking, and Navigation",A. Moreira,IEEE Communications Surveys & Tutorials,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8409950
,Carlo Fischione,,,,,
,Christos Laoudias,,,,,
,Lauri Wirola,,,,,
,SangWoo Lee,,,,,
,Sunwoo Kim,,,,,
A Survey of Opportunistic Offloading,Dianlei Xu,IEEE Communications Surveys & Tutorials,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8300317
,Jon A Crowcroft,,,,,
,Yong Li,,,,,
A Survey of Traffic Data Visualization,Fangzhou Guo,IEEE Transactions on Intelligent Transportation…,2015,1,22,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7120975
,Fei-Yue Wang,,,,,
,Wei Chen,,,,,
A critical evaluation of location based services and their potential,Chris Rizos,J. Location Based Services,2007,6,7,https://pdfs.semanticscholar.org/1958/cc8d62868bd0e727e8ab12b0d4400cc7f105.pdf
,Georg Gartner,,,,,
,Hassan Karimi,,,,,
,Jonathan Raper,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A markov routing algorithm for mobile DTNs based on spatio-temporal modeling of human movement data,Arezu Moghadam,MSWiM,2011,,,http://dl.acm.org/citation.cfm?id=2068954
,Henning Schulzrinne,,,,,
,Tony Jebara,,,,,
A probabilistic kernel method for human mobility prediction with smartphones,Daniel Gatica-Perez,Pervasive and Mobile Computing,2015,1,,http://doi.org/10.1016/j.pmcj.2014.09.001
,Markus Miettinen,,,,,
,Olivier Dousse,,,,,
,Trinh Minh Tri Do,,,,,
A probabilistic kernel method for human mobility prediction with smartphones,Daniel Gatica-Perez,Pervasive and Mobile Computing,2015,1,,http://doi.org/10.1016/j.pmcj.2014.09.001
,Markus Miettinen,,,,,
,Olivier Dousse,,,,,
,Trinh Minh Tri Do,,,,,
A survey of results on mobile phone datasets analysis,Adeline Decuyper,EPJ Data Science,2015,2,53,https://arxiv.org/pdf/1502.03406.pdf
,Gautier Krings,,,,,
,Vincent D. Blondel,,,,,
A survey of results on mobile phone datasets analysis,Adeline Decuyper,EPJ Data Science,2015,2,53,https://arxiv.org/pdf/1502.03406.pdf
,Gautier Krings,,,,,
,Vincent D. Blondel,,,,,
A survey on Human Mobility and its applications,Fereshteh Asgari,ArXiv,2013,1,,https://arxiv.org/pdf/1307.0814.pdf
,Monique Becker,,,,,
,Vincent Gauthier,,,,,
A survey on Human Mobility and its applications,Fereshteh Asgari,ArXiv,2013,1,,https://arxiv.org/pdf/1307.0814.pdf
,Monique Becker,,,,,
,Vincent Gauthier,,,,,
Acquisition and Use of Mobility Habits for Personal Assistants,Lukas Nack,2015 IEEE 18th International Conference on…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7313337
,Markus Strassberger,,,,,
,Roman Roor,,,,,
Acquisition and Use of Mobility Habits for Personal Assistants,Lukas Nack,2015 IEEE 18th International Conference on…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7313337
,Markus Strassberger,,,,,
,Roman Roor,,,,,
Advances in Crowd Analysis for Urban Applications Through Urban Event Detection,Khin T. Lwin,IEEE Transactions on Intelligent Transportation…,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8194870
,Mohammed Alamgir Hossain,,,,,
,Mohammed Shamim Kaiser,,,,,
Advancing the adverse outcome pathway framework-An international horizon scanning approach.,Carlie A Lalone,Environmental toxicology and chemistry,2017,,,https://pdfs.semanticscholar.org/aad7/30253108fe6d781437384b2e8694b6c0b051.pdf
,Gerald T. Ankley,,,,,
,Markus Hecker,,,,,
"An Interactive, Web-Based High Performance Modeling Environment for Computational Epidemiology",Jiangzhuo Chen,ACM Trans. Management Inf. Syst.,2014,,,http://dl.acm.org/citation.cfm?id=2629692
,Keith R. Bisset,,,,,
,Madhav V. Marathe,,,,,
,Suruchi Deodhar,,,,,
,Yifei Ma,,,,,
An alternative approach to the limits of predictability in human mobility,Anders Mollgaard,EPJ Data Science,2017,2,,http://doi.org/10.1140/epjds%2Fs13688-017-0107-7
,K. G&#x00FC;lnihar,,,,,
An alternative approach to the limits of predictability in human mobility,Anders Mollgaard,EPJ Data Science,2017,2,,http://doi.org/10.1140/epjds%2Fs13688-017-0107-7
,K. G&#x00FC;lnihar,,,,,
Anonymizing mobility data using semantic cloaking,Eran Toch,Pervasive and Mobile Computing,2016,,,http://doi.org/10.1016/j.pmcj.2015.10.013
,Gabriella Cohen,,,,,
,Omer Barak,,,,,
Anonymizing mobility data using semantic cloaking,Eran Toch,Pervasive and Mobile Computing,2016,,,http://doi.org/10.1016/j.pmcj.2015.10.013
,Gabriella Cohen,,,,,
,Omer Barak,,,,,
Anticipatory Mobile Computing: A Survey of the State of the Art and Research Challenges,Mirco Musolesi,ACM Comput. Surv.,2015,6,32,https://arxiv.org/pdf/1306.2356.pdf
,Veljko Pejovic,,,,,
Anticipatory Mobile Computing: A Survey of the State of the Art and Research Challenges,Mirco Musolesi,ACM Comput. Surv.,2015,6,32,https://arxiv.org/pdf/1306.2356.pdf
,Veljko Pejovic,,,,,
Anticipatory Networking in Future Generation Mobile Networks: a Survey,Ilaria Malanchini,ArXiv,2016,,,https://pdfs.semanticscholar.org/2798/a24e7ccbaa9517fdb2bf407b9fc07c64a3c7.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
Anticipatory Networking in Future Generation Mobile Networks: a Survey,Ilaria Malanchini,ArXiv,2016,,,https://pdfs.semanticscholar.org/2798/a24e7ccbaa9517fdb2bf407b9fc07c64a3c7.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
Anticipatory Networking in Future Generation Mobile Networks: a Survey,Ilaria Malanchini,ArXiv,2016,,,https://pdfs.semanticscholar.org/2798/a24e7ccbaa9517fdb2bf407b9fc07c64a3c7.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
Antiepileptic Drug Discovery,Alan Talevi,Methods in Pharmacology and Toxicology,2016,,,http://doi.org/10.1007/978-1-4939-6355-3
,Luisa L. Rocha,,,,,
Are you getting sick? Predicting influenza-like symptoms using human mobility behaviors,Abhinav Mehrotra,EPJ Data Science,2017,,,http://doi.org/10.1140/epjds%2Fs13688-017-0124-6
,Bruno Lepri,,,,,
,Christos Perentis,,,,,
,Gianni Barlacchi,,,,,
,Mirco Musolesi,,,,,
Are you getting sick? Predicting influenza-like symptoms using human mobility behaviors,Abhinav Mehrotra,EPJ Data Science,2017,,,http://doi.org/10.1140/epjds%2Fs13688-017-0124-6
,Bruno Lepri,,,,,
,Christos Perentis,,,,,
,Gianni Barlacchi,,,,,
,Mirco Musolesi,,,,,
"Ask, but don't interrupt: the case for interruptibility-aware mobile experience sampling",Abhinav Mehrotra,UbiComp/ISWC Adjunct,2015,2,7,http://dl.acm.org/citation.cfm?id=2804397
,Jo Vermeulen,,,,,
,Mirco Musolesi,,,,,
,Veljko Pejovic,,,,,
Assessing the Influence of Spatio-Temporal Context for Next Place Prediction using Different Machine Learning Approaches,David Jonietz,ISPRS Int. J. Geo-Information,2018,,,https://pdfs.semanticscholar.org/ceae/e4ddb438d037ed97bffe578ae70e07d8811c.pdf
,Dominik Bucher,,,,,
,Jing Yang,,,,,
,Jorim Urner,,,,,
Assessing the Influence of Spatio-Temporal Context for Next Place Prediction using Different Machine Learning Approaches,David Jonietz,ISPRS Int. J. Geo-Information,2018,,,https://pdfs.semanticscholar.org/ceae/e4ddb438d037ed97bffe578ae70e07d8811c.pdf
,Dominik Bucher,,,,,
,Jing Yang,,,,,
,Jorim Urner,,,,,
Assessing the impact of temporal dynamics on land-use change modeling,Claes Andersson,"Computers, Environment and Urban Systems",2004,,,http://doi.org/10.1016/S0198-9715%2802%2900045-5
,XiaoHang Liu,,,,,
Assessing the usage and level-of-service of pedestrian facilities in train stations : A Swiss case study,Flurin S. Hänseler,,2015,,,https://pdfs.semanticscholar.org/b7dd/49f123812cb3d3dc673a1d27ce6d35ed6c9e.pdf
Behaviour of Humans and Behaviour of Models in Dynamic Space,Peter Nijkamp,,2011,,,https://pdfs.semanticscholar.org/59c4/fc7deda178fbdb2007323350301b1aced99e.pdf
Behaviour of Humans and Behaviour of Models in Dynamic Space,Peter Nijkamp,,2011,,,https://pdfs.semanticscholar.org/59c4/fc7deda178fbdb2007323350301b1aced99e.pdf
Bicycle cycles and mobility patterns - Exploring and characterizing data from a community bicycle program,Andreas Kaltenbrunner,ArXiv,2008,,,https://arxiv.org/pdf/0810.4187.pdf
,Jens Grivolla,,,,,
,Joan Codina,,,,,
,Rafael E. Banchs,,,,,
,Rodrigo Meza,,,,,
Big Data Driven Hidden Markov Model Based Individual Mobility Prediction at Points of Interest,Jie Yang,IEEE Transactions on Vehicular Technology,2017,2,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7572081
,Jun Liu,,,,,
,Nirwan Ansari,,,,,
,Qiujian Lv,,,,,
,Yuanyuan Qiao,,,,,
Big Data Driven Hidden Markov Model Based Individual Mobility Prediction at Points of Interest,Jie Yang,IEEE Transactions on Vehicular Technology,2017,2,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7572081
,Jun Liu,,,,,
,Nirwan Ansari,,,,,
,Qiujian Lv,,,,,
,Yuanyuan Qiao,,,,,
Big Data Meet Cyber-Physical Systems: A Panoramic Survey,Chunxuan Ye,ArXiv,2018,,,https://arxiv.org/pdf/1810.12399.pdf
,Guangyu Li,,,,,
,Jinsong Wu,,,,,
,Lingjia Liu,,,,,
,Rachad Atat,,,,,
,Yang Yi,,,,,
Big Trajectory Data: A Survey of Applications and Services,Feng Xia,IEEE Access,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8481678
,Menglin Li,,,,,
,Xiangjie Kong,,,,,
Big Trajectory Data: A Survey of Applications and Services,Feng Xia,IEEE Access,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8481678
,Menglin Li,,,,,
,Xiangjie Kong,,,,,
Big Trajectory Data: A Survey of Applications and Services,Feng Xia,IEEE Access,2018,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8481678
,Menglin Li,,,,,
,Xiangjie Kong,,,,,
CEPR: A Collaborative Exploration and Periodically Returning Model for Location Prediction,Defu Lian,TIST,2015,6,13,http://dl.acm.org/citation.cfm?id=2629557
,Enhong Chen,,,,,
,Fuzheng Zhang,,,,,
,Nicholas Jing Yuan,,,,,
,Vincent W. Zheng,,,,,
,Xing Xie,,,,,
CEPR: A Collaborative Exploration and Periodically Returning Model for Location Prediction,Defu Lian,TIST,2015,6,13,http://dl.acm.org/citation.cfm?id=2629557
,Enhong Chen,,,,,
,Fuzheng Zhang,,,,,
,Nicholas Jing Yuan,,,,,
,Vincent W. Zheng,,,,,
,Xing Xie,,,,,
Capturing complex behaviour for predicting distant future trajectories,Arielle Moro,MobiGIS,2016,,,http://dl.acm.org/citation.cfm?id=3004730
,Benoît Garbinato,,,,,
,Bertil Chapuis,,,,,
,Vaibhav Kulkarni,,,,,
Capturing complex behaviour for predicting distant future trajectories,Arielle Moro,MobiGIS,2016,,,http://dl.acm.org/citation.cfm?id=3004730
,Benoît Garbinato,,,,,
,Bertil Chapuis,,,,,
,Vaibhav Kulkarni,,,,,
Change Modelling in Developing Countries : Iss Ues and Prospects,Peter Elias,,2012,,,https://pdfs.semanticscholar.org/6997/d228939333d88c36637f7d6c771aff5fe5ff.pdf
Chapter 2 Research Challenges in Ubiquitous Knowledge Discovery,Bettina Berendt,,2008,,,https://pdfs.semanticscholar.org/095e/7315d64feefd0a9278309492d42084b66cd1.pdf
,Koen Vanhoof,,,,,
,Michael May,,,,,
Cluster-aided mobility predictions,Alexandre Proutière,IEEE INFOCOM 2016 - The 35th Annual IEEE…,2016,,,https://arxiv.org/pdf/1507.03292.pdf
,Jaeseong Jeong,,,,,
,Mathieu Leconte,,,,,
Cluster-aided mobility predictions,Alexandre Proutière,IEEE INFOCOM 2016 - The 35th Annual IEEE…,2016,,,https://arxiv.org/pdf/1507.03292.pdf
,Jaeseong Jeong,,,,,
,Mathieu Leconte,,,,,
Cognitive insensitivity and cognitive impulsivity as mediators of bullying continuity: Extending the psychological inertia construct to bullying behavior.,Dorothy L Espelage,School psychology quarterly : the official…,2018,,,https://pdfs.semanticscholar.org/dcce/f4446e3522dd9299cc91855a2e690e56ea41.pdf
,Glenn D. Walters,,,,,
Comparing Sequential and Temporal Patterns from Human Mobility Data for Next-Place Prediction,Björn Sommer,UMAP,2018,,,http://dl.acm.org/citation.cfm?id=3226212
,Corinna Breitinger,,,,,
,Falk Schreiber,,,,,
,Harald Reiterer,,,,,
,Yunlong Wang,,,,,
Comparing Sequential and Temporal Patterns from Human Mobility Data for Next-Place Prediction,Björn Sommer,UMAP,2018,,,http://dl.acm.org/citation.cfm?id=3226212
,Corinna Breitinger,,,,,
,Falk Schreiber,,,,,
,Harald Reiterer,,,,,
,Yunlong Wang,,,,,
Computational Mathematical Organization Theory Workshop Agenda an Adaptive Simulation Approach for Investigating Information Processing Structures in Organizations Organizational Adaptation in a…,Jan Thomsen,,2000,,,https://pdfs.semanticscholar.org/3cc7/f5f64375733728da422f1169e6f7f07abdc8.pdf
,John C. Kunz,,,,,
,Raymond E. Levitt,,,,,
,S. Miller,,,,,
,Yul K. Kwon,,,,,
Computational Science and Its Applications – ICCSA 2014,Beniamino Murgante,Lecture Notes in Computer Science,2014,,,http://doi.org/10.1007/978-3-319-09147-1
,Osvaldo Gervasi,,,,,
,Sanjay Misra,,,,,
Context-based location clustering and prediction using conditional random fields,Roland Assam,MUM,2014,1,,http://dl.acm.org/citation.cfm?id=2677989
,Thomas Seidl,,,,,
Context-based location clustering and prediction using conditional random fields,Roland Assam,MUM,2014,1,,http://dl.acm.org/citation.cfm?id=2677989
,Thomas Seidl,,,,,
Cooperative Mobility Maintenance Techniques for Information Extraction from Mobile Wireless Sensor Networks Abdelrahman Abuarqoub,Abdelrahman Abuarqoub,,2014,,,https://pdfs.semanticscholar.org/0ac3/ffa66e02248bf1654349fa5fa1d8c8c782c1.pdf
Crime in Urban Areas: : A Data Mining Perspective,Jiliang Tang,SIGKDD Explorations,2018,,,https://arxiv.org/pdf/1804.08159.pdf
,Xiangyu Zhao,,,,,
Crowd location forecasting at points of interest,Edgar Chávez,IJAHUC,2015,2,,https://pdfs.semanticscholar.org/0bec/bcf9e7002fb2e5c834f4ec49daa280c2fb45.pdf
,J. Antonio García-Macías,,,,,
,Jorge Alvarez-Lozano,,,,,
Crowd location forecasting at points of interest,Edgar Chávez,IJAHUC,2015,2,,https://pdfs.semanticscholar.org/0bec/bcf9e7002fb2e5c834f4ec49daa280c2fb45.pdf
,J. Antonio García-Macías,,,,,
,Jorge Alvarez-Lozano,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Data-driven fundamental models for pedestrian movements THÈSE,Marija Vukelic Nikolic,,2017,,,https://pdfs.semanticscholar.org/df35/3e3a46cca8c1ef274994f5a6dcb580231726.pdf
Data-driven generation of spatio-temporal routines in human mobility,Filippo Simini,Data Mining and Knowledge Discovery,2017,,,https://arxiv.org/pdf/1607.05952.pdf
,Luca Pappalardo,,,,,
Data-driven generation of spatio-temporal routines in human mobility,Filippo Simini,Data Mining and Knowledge Discovery,2017,,,https://arxiv.org/pdf/1607.05952.pdf
,Luca Pappalardo,,,,,
Databases Theory and Applications,Gao Cong,Lecture Notes in Computer Science,2018,,,http://doi.org/10.1007/978-3-319-92013-9
,Jianzhong Qi,,,,,
,Jinjun Chen,,,,,
Deep Generative Models of Urban Mobility,Jean-François Paiement,,2017,2,,https://pdfs.semanticscholar.org/3361/ddc93a6d9f451c1b94cc488c52fd0bdf5c83.pdf
,Mogeng Yin,,,,,
,Sidney Feygin,,,,,
,Ziheng Lin,,,,,
Deep Generative Models of Urban Mobility,Jean-François Paiement,,2017,2,,https://pdfs.semanticscholar.org/3361/ddc93a6d9f451c1b94cc488c52fd0bdf5c83.pdf
,Mogeng Yin,,,,,
,Sidney Feygin,,,,,
,Ziheng Lin,,,,,
Design Techniques and Applications of Cyberphysical Systems: A Survey,James D. McCalley,IEEE Systems Journal,2015,10,75,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6853346
,Siddhartha Kumar Khaitan,,,,,
Design Techniques and Applications of Cyberphysical Systems: A Survey,James D. McCalley,IEEE Systems Journal,2015,10,75,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6853346
,Siddhartha Kumar Khaitan,,,,,
Dynamics and Statistical Physics Sectional Programme Overview DYNAMICS AND STATISTICAL PHYSICS,Dieter Richter,,2006,,,https://pdfs.semanticscholar.org/43e8/6543409848530c35b4c03cbfc127e8f5a87d.pdf
,Jörg Menche,,,,,
Energy-efficient Continuous Context Sensing on Mobile Phones,Lutz Schimansky-Geier,,2015,1,,https://pdfs.semanticscholar.org/29ff/26cdafcbfaa059362637670efde9dd58d0e0.pdf
Environmental impacts of dredging and other sediment disturbances on corals: a review.,Bernhard Riegl,Marine pollution bulletin,2012,12,,https://www.ncbi.nlm.nih.gov/pubmed/22682583
,Bert W Hoeksema,,,,,
,Paul L. A. Erftemeijer,,,,,
,Peter A. Todd,,,,,
Event Recognition : Challenges and Current Techniques,Alexander Artikis,,2014,,,https://pdfs.semanticscholar.org/7834/83e55d19e27ca703b84d5e809f30650e7f8c.pdf
Exploring the association between mobility behaviours and academic performances of students: a context-aware traj-graph (CTG) analysis,Shreya Ghosh,Progress in Artificial Intelligence,2018,,,http://doi.org/10.1007/s13748-018-0164-6
,Soumya K. Ghosh,,,,,
Exploring the association between mobility behaviours and academic performances of students: a context-aware traj-graph (CTG) analysis,Shreya Ghosh,Progress in Artificial Intelligence,2018,,,http://doi.org/10.1007/s13748-018-0164-6
,Soumya K. Ghosh,,,,,
Forecasting urban dynamics with mobility logs by bilinear Poisson regression,Keisuke Maeda,UbiComp,2015,1,,http://dl.acm.org/citation.cfm?id=2807527
,Kota Tsubouchi,,,,,
,Masamichi Shimosaka,,,,,
,Takeshi Tsukiji,,,,,
Forecasting urban dynamics with mobility logs by bilinear Poisson regression,Keisuke Maeda,UbiComp,2015,1,,http://dl.acm.org/citation.cfm?id=2807527
,Kota Tsubouchi,,,,,
,Masamichi Shimosaka,,,,,
,Takeshi Tsukiji,,,,,
From Cells to Streets: Estimating Mobile Paths with Cellular-Side Data,Antonio Lima,CoNEXT,2014,6,12,http://dl.acm.org/citation.cfm?id=2674982
,David Wetherall,,,,,
,Haewoon Kwak,,,,,
,Ilias Leontiadis,,,,,
,Konstantina Papagiannaki,,,,,
,Rade Stanojevic,,,,,
From Social Data Mining to Forecasting Socio-Economic Crisis,Dirk Helbing,ArXiv,2010,,,https://arxiv.org/pdf/1012.0178.pdf
,Stefano Balietti,,,,,
From taxi GPS traces to social and community dynamics: A survey,Chao Chen,ACM Comput. Surv.,2013,3,34,http://dl.acm.org/citation.cfm?id=2543584
,Daqing Zhang,,,,,
,Gang Pan,,,,,
,Pablo Samuel Castro,,,,,
,Shijian Li,,,,,
Fuzzy Modelling for Human Dynamics Based on Online Social Networks,Antonio F. Gómez-Skarmeta,Sensors,2017,,,https://pdfs.semanticscholar.org/c48e/c3d14a223346bb50002176e9a04bfb385cc7.pdf
,Fernando Terroso-Saenz,,,,,
,Jesús Cuenca-Jara,,,,,
,Mercedes Valdés-Vela,,,,,
Fuzzy Modelling for Human Dynamics Based on Online Social Networks,Antonio F. Gómez-Skarmeta,Sensors,2017,,,https://pdfs.semanticscholar.org/c48e/c3d14a223346bb50002176e9a04bfb385cc7.pdf
,Fernando Terroso-Saenz,,,,,
,Jesús Cuenca-Jara,,,,,
,Mercedes Valdés-Vela,,,,,
GIS and Transport Modeling - Strengthening the Spatial Perspective,Anita Graser,ISPRS Int. J. Geo-Information,2016,,,https://pdfs.semanticscholar.org/9ad5/9ac35f126ba83f26691efe1d925ecf105a73.pdf
,Eva Haslauer,,,,,
,Gudrun Wallentin,,,,,
,Johannes Scholz,,,,,
,Martin Loidl,,,,,
,Rita Cyganski,,,,,
Hidden location prediction using check-in patterns in location-based social networks,Bidyut Kr. Patra,Knowledge and Information Systems,2018,,,http://doi.org/10.1007/s10115-018-1170-5
,Korra Sathya Babu,,,,,
,Pramit Mazumdar,,,,,
,Russell Lock,,,,,
Hidden location prediction using check-in patterns in location-based social networks,Bidyut Kr. Patra,Knowledge and Information Systems,2018,,,http://doi.org/10.1007/s10115-018-1170-5
,Korra Sathya Babu,,,,,
,Pramit Mazumdar,,,,,
,Russell Lock,,,,,
How is an informal transport infrastructure system formed ? Towards a spatially explicit conceptual model,Hossein Vahidi,,2016,,,https://pdfs.semanticscholar.org/e05c/d0505e0a9291f3eb3e2392a7bdf00720bfba.pdf
,Wanglin Yan,,,,,
How is an informal transport infrastructure system formed ? Towards a spatially explicit conceptual model,Hossein Vahidi,,2016,,,https://pdfs.semanticscholar.org/e05c/d0505e0a9291f3eb3e2392a7bdf00720bfba.pdf
,Wanglin Yan,,,,,
