Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
,Andrew K Littlefield,,,,,
,Kenneth J Sher,,,,,
Social LSTM: Human Trajectory Prediction in Crowded Spaces,Alexandre Alahi,2016 IEEE Conference on Computer Vision and…,2016,39,125,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7780479
,Alexandre Robicquet,,,,,
,Kratarth Goel,,,,,
,Li Fei-Fei,,,,,
,Silvio Savarese,,,,,
,Vignesh Ramanathan,,,,,
Stochastic Model Predictive Control: An Overview and Perspectives for Future Research,Ali Mesbah,IEEE Control Systems,2016,6,30,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7740982
Stochastic Model Predictive Control: An Overview and Perspectives for Future Research,Ali Mesbah,IEEE Control Systems,2016,6,30,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7740982
Story Comprehension for Predicting What Happens Next,Dan Roth,EMNLP,2017,4,,https://pdfs.semanticscholar.org/df1a/c023b97e5962476c329c7a4eab358c711da4.pdf
,Haoruo Peng,,,,,
,Snigdha Chaturvedi,,,,,
Technological Trajectories and Path Dependence,Debbie Harrison,,2000,,,https://pdfs.semanticscholar.org/24c3/4a9316f780b8c0a4948962924a20300b79c1.pdf
,Luis Araujo,,,,,
"Telerehabilitation robotics: bright lights, big future?",Craig R. Carignan,Journal of rehabilitation research and…,2006,3,20,https://pdfs.semanticscholar.org/b3bb/6b676808ea4200be8a527e8ad1532d9c6aca.pdf
,Hermano Igo Krebs,,,,,
"The Technology Acceptance Model: Past, Present, and Future",Kai R. T. Larsen,CAIS,2003,57,,https://pdfs.semanticscholar.org/7ee8/698080ee63b24d177d41e9fec213ee96d40a.pdf
,Kenneth A. Kozar,,,,,
,Younghwa Lee,,,,,
"The Technology Acceptance Model: Past, Present, and Future",Kai R. T. Larsen,CAIS,2003,57,,https://pdfs.semanticscholar.org/7ee8/698080ee63b24d177d41e9fec213ee96d40a.pdf
,Kenneth A. Kozar,,,,,
,Younghwa Lee,,,,,
The future of microprocessors,Andrew A. Chien,Commun. ACM,2011,19,61,http://dl.acm.org/citation.cfm?id=1941507
,Shekhar Y. Borkar,,,,,
The next 25 years?: future scenarios and future directions for education and technology,Keri Facer,J. Comp. Assisted Learning,2010,,,https://pdfs.semanticscholar.org/5d61/ce6af2b0dbbd44ddbacd08b555fbcc63096a.pdf
,Richard Sandford,,,,,
The next-generation sequencing technology: A technology review and future perspective,Jun Yu,Science China Life Sciences,2010,2,,http://doi.org/10.1007/s11427-010-0023-6
,Lufeng Ren,,,,,
,Meng Zhang,,,,,
,Xiaoguang Zhou,,,,,
,Yude Yu,,,,,
,Yuntao Li,,,,,
The relative benefits of claims and electronic health record data for predicting medication adherence trajectory.,Chandrasekar Gopalakrishnan,American heart journal,2018,,,https://www.ncbi.nlm.nih.gov/pubmed/29447776
,Jessica M. Franklin,,,,,
,Niteesh Choudhry,,,,,
Theoretical results in genetic programming: the next ten years?,Leonardo Vanneschi,Genetic Programming and Evolvable Machines,2010,1,,http://doi.org/10.1007/s10710-010-9110-5
,Nicholas Freitag McPhee,,,,,
,Riccardo Poli,,,,,
,William B. Langdon,,,,,
Trajectories and models of individual growth,Arseniy S. Karkach,,2006,4,,https://pdfs.semanticscholar.org/3301/204b0dfa3b15f79d0a8e1c176ef756486dd0.pdf
Trajectories of BMI and internalizing symptoms: Associations across adolescence.,David B Flora,Journal of adolescence,2015,,,https://www.ncbi.nlm.nih.gov/pubmed/26397879
,Maxine Gallander Wintre,,,,,
,Megan E Ames,,,,,
Trajectories of physiological dysregulation predicts mortality and health outcomes in a consistent manner across three populations,Alan A Cohen,Mechanisms of Ageing and Development,2014,,20,https://www.sciencedirect.com/science/article/pii/S0047637414000682?dgcid=api_sd_search-api-endpoint
,Emmanuel Milot,,,,,
,Linda P. Fried,,,,,
,Qing Li,,,,,
,Vincent Morissette-Thomas,,,,,
Trajectories of psychological need satisfaction from early to late adolescence as a predictor of adjustment in school,Catherine F. Ratelle,,2015,1,,https://pdfs.semanticscholar.org/4c78/67cb1afd8d2dd246256b59d1b460a1df62a2.pdf
,Stéphane Duchesne,,,,,
Trajectories of socioeconomic status across children's lifetime predict health.,Andrew D. Martin,Pediatrics,2007,1,,https://pdfs.semanticscholar.org/1078/ada8a69a9f41137277631173c39679213002.pdf
,Edith Chen,,,,,
,Karen A. Matthews,,,,,
Trajectory Estimations Using Smartphones,Cesar Barrios,IEEE Transactions on Industrial Electronics,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7265042
,Dryver Huston,,,,,
,Yuichi Motai,,,,,
Trajectory Synchronization between air and ground trajectory predictors,Joel Klooster,2011 IEEE/AIAA 30th Digital Avionics Systems…,2011,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6095978
,Liling Ren,,,,,
,Mauricio Castillo-Effen,,,,,
,Sergio Torres,,,,,
Trajectory generation for multi-contact momentum control,Alexander Herzog,2015 IEEE-RAS 15th International Conference on…,2015,1,32,https://arxiv.org/pdf/1507.04380.pdf
,Ludovic Righetti,,,,,
,Nicholas Rotella,,,,,
,Stefan Schaal,,,,,
Trajectory privacy in location-based services and data publication,Chi-Yin Chow,SIGKDD Explorations,2011,7,23,http://dl.acm.org/citation.cfm?id=2031335
,Mohamed F. Mokbel,,,,,
Trajectory-Based Complexity (TBX): A modified aircraft count to predict sector complexity during trajectory-based operations,Paul U. Lee,2011 IEEE/AIAA 30th Digital Avionics Systems…,2011,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6096045
,Thomas Prevot,,,,,
Trajectory-Tracking Control of Mobile Robot Systems Incorporating Neural-Dynamic Optimized Model Predictive Approach,Chun-Yi Su,"IEEE Transactions on Systems, Man, and…",2016,1,40,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7230300
,Jianjun Bai,,,,,
,Jun Deng,,,,,
,Renquan Lu,,,,,
,Yong Xu,,,,,
,Zhijun Li,,,,,
Trauma and posttraumatic stress symptoms predict alcohol and other drug consequence trajectories in the first year of college.,Ashlyn G. Swartout,Journal of consulting and clinical psychology,2012,3,,https://www.ncbi.nlm.nih.gov/pubmed/22545739
,Craig R Colder,,,,,
,Jacquelyn W. White,,,,,
,Jennifer E. Merrill,,,,,
,Jennifer P. Read,,,,,
,Paige C. Ouimette,,,,,
TribeFlow: Mining & Predicting User Trajectories,Bruno F. Ribeiro,WWW,2016,1,,https://arxiv.org/pdf/1511.01032.pdf
,Christos Faloutsos,,,,,
,Flavio Figueiredo,,,,,
,Jussara M. Almeida,,,,,
TribeFlow: Mining & Predicting User Trajectories,Bruno F. Ribeiro,WWW,2016,1,,https://arxiv.org/pdf/1511.01032.pdf
,Christos Faloutsos,,,,,
,Flavio Figueiredo,,,,,
,Jussara M. Almeida,,,,,
Trouble ahead: predicting antisocial trajectories with dynamic systems concepts and methods.,Marc D. Lewis,Journal of abnormal child psychology,2004,,,https://pdfs.semanticscholar.org/a1bb/892c8b0f6f3028b1db0d01a62813211256a4.pdf
Using Neural Networks to Predict Aircraft Trajectories,Jean-Marc Alliot,IC-AI,1999,1,,https://pdfs.semanticscholar.org/e748/4984843f43ff7acfe37a0ac307b6846fa6f4.pdf
,Yann Le Fablec,,,,,
Velocity Predictors for Predictive Energy Management in Hybrid Electric Vehicles,C. Sun,IEEE Transactions on Control Systems Technology,2015,,25,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6917015
,Fengchun Sun,,,,,
,Scott J. Moura,,,,,
,Xiaosong Hu,,,,,
Visualizing uncertainty about the future.,David J. Spiegelhalter,Science,2011,7,,https://pdfs.semanticscholar.org/7aa9/0fc8be156d120f4740c68db8a191083f2a34.pdf
,Ian Short,,,,,
,Mike G Pearson,,,,,
"Whatever next? Predictive brains, situated agents, and the future of cognitive science.",Andy Clark,The Behavioral and brain sciences,2013,117,,https://pdfs.semanticscholar.org/cfae/46f54d6725cbc338f34d4c749518b0aa2479.pdf
Where to find my next passenger,Guangzhong Sun,UbiComp,2011,16,43,http://dl.acm.org/citation.cfm?id=2030128
,Jing Yuan,,,,,
,Liuhang Zhang,,,,,
,Xing Xie,,,,,
,Yu Zheng,,,,,
WhereNext: a location predictor on trajectory pattern mining,Anna Monreale,KDD,2009,40,62,http://dl.acm.org/citation.cfm?id=1557091
,Fabio Pinelli,,,,,
,Fosca Giannotti,,,,,
,Roberto Trasarti,,,,,
