Title,Date,Venue/Journal,Authors,Key word list
PREDICTION OF TRACE ELEMENT MOBILITY IN CONTAMINATED SOILS BY SEQUENTIAL EXTRACTION,2003,Journal of Environmental Quality,"Pueyo M, Sastre J, HernÃ¡ndez E, Vidal M, LÃ_pez-SÃ¡nchez Jf","['University of Barcelona', 'Trace element', 'Soil water']"
A mobility prediction architecture based on contextual knowledge and spatial conceptual maps,2005,IEEE Transactions on Mobile Computing,"Nancy Samaan, Ahmed Karmouch","['User modeling', 'Spatial analysis', 'Simulation']"
Fast handoff scheme based on mobility prediction in public wireless LAN systems,2004,Arxiv,"Sangheon Pack, Y. Choi","['Wireless', 'The Internet', 'Quality of service']"
Scalable Localization with Mobility Prediction for Underwater Sensor Networks,2008,International Conference on Computer Communications,"Zhong Zhou, Jun-Hong Cui, Amvrossios Bagtzoglou","['Wireless sensor network', 'Underwater acoustics', 'Underwater acoustic communication']"
Carrier Mobility in Graphyne Should Be Even Larger than That in Graphene: A Theoretical Prediction,2013,Journal of Physical Chemistry Letters,"Jianming Chen, Jinyang Xi, Dong Wang, Zhigang Shuai","['Scattering', 'Photochemistry', '+9']"
Mobility prediction-based smartphone energy optimization for everyday location monitoring,2011,International Conference on Embedded Networked Sensor Systems,"Yohan Chon, Elmurod Talipov, Hyojeong Shin, Hojung Cha","['Software deployment', 'Schedule', 'Real-time computing']"
Ad hoc wireless multicast with mobility prediction,1999,International Conference on Computer Communications and Networks,"Sung-Ju Lee1, William Su2, Mario Gerla2","['2University of California, Berkeley', 'Wireless ad hoc network', 'Wireless Routing Protocol']"
"Mobility prediction in wireless, mobile access digital networks",2002,Arxiv,Youngjune L. Gwon,"['Wireless network', 'Wi-Fi array', 'Mobility model']"
Wireless ad hoc multicast routing with mobility prediction,2001,Mobile Networks and Applications,"Sung-Ju Lee, William Su, Mario Gerla","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Protocol Independent Multicast']"
Description of bipolar charge transport in polyethylene using a fluid model with a constant mobility: model prediction,2004,Journal of Physics D,"S Le Roy, P Segur, G Teyssedre, C Laurent","['Voltage', 'Thermal conduction', 'Space charge']"
"Fast dynamic route establishment in wireless, mobile access digital networks using mobility prediction",2003,Arxiv,Youngjune L. Gwon,"['Wireless', 'Router', 'Packet loss']"
Analysis of a prediction-based mobility adaptive tracking algorithm,2005,"Broadband Communications, Networks and Systems","Jennifer Yick, Biswanath Mukherjee, Dipak Ghosal","['Wireless sensor network', 'Tracking system', 'Simulation']"
Prediction of urban human mobility using large-scale taxi traces and its applications,2012,Frontiers of Computer Science in China,"Xiaolong Li, Gang Pan, Zhaohui Wu, Guande Qi, Shijian Li","['Zhejiang University', 'Simulation', 'Mean squared prediction error']"
Titanium Trisulfide Monolayer: Theoretical Prediction of a New Direct-Gap Semiconductor with High and Anisotropic Carrier Mobilityâ€ ,2015,Angewandte Chemie,"Jun Yan Dai, Xiao Cheng Zeng","['Semiconductor', 'Nanotechnology', 'Nanoelectronics']"
Prediction of debris flow inundation areas using empirical mobility relationships,2007,Geomorphology,"Matteo Berti, Alessandro Simoni","['Spite', 'Scaling', 'Regression analysis']"
Empirical prediction of debris-flow mobility and deposition on fans.,2009,Earth Surface Processes and Landforms,"Christian Scheidl, Dieter Rickenmann","['Sedimentary depositional environment', 'Outflow', 'Lidar']"
Stable clustering through mobility prediction for large-scale multihop intelligent ad hoc networks,2004,Wireless Communications and Networking Conference,"Siva Sivavakeesar, George Pavlou, Antonio Liotta","['Wireless ad hoc network', 'Vehicular ad hoc network', 'Quality of service']"
Mobility Prediction in Wireless Networks Using Neural Networks,2004,Lecture Notes in Computer Science,"Joe Capka, Raouf Boutaba","['Wireless network', 'Wireless', 'Mobility model']"
Toward quantitative prediction of charge mobility in organic semiconductors: tunneling enabled hopping model.,2012,Advanced Materials,"Hua Geng1, Qian Peng1, Linjun Wang1, Haijiao Li2, Yi Liao2","['1Chinese Academy of Sciences,', '2Capital Normal University', 'Quantum tunnelling']"
User mobility profile prediction: an adaptive fuzzy inference approach,2000,Wireless Networks,"Xuemin Shen, Jon W. Mark, Jun Ye","['Real-time computing', 'Quality of service', 'Path loss']"
Evaluating mobility models for temporal prediction with high-granularity mobility data,2012,IEEE International Conference on Pervasive Computing and Communications,"Yohan Chon, Hyojeong Shin, Elmurod Talipov, Hojung Cha","['Real-time computing', 'Predictability', 'Mobility model']"
Human mobility prediction based on individual and collective geographical preferences,2010,International Conference on Intelligent Transportation Systems,"Francesco Calabrese, Giusy Di Lorenzo, Carlo Ratti","['Travel behavior', 'Transportation planning', 'TRIPS architecture']"
"Prediction of Mobility, Enhanced Storage Capacity, and Volume Change during Sodiation on Interlayer-Expanded Functionalized Ti3C2 MXene Anode Materials for Sodium-Ion Batteries",2016,Journal of Physical Chemistry C,Yang-Xin Yu,"['MXenes', 'Lattice constant', '+7']"
Quantum-chemical insights into the prediction of charge transport parameters for a naphthalenetetracarboxydiimide-based copolymer with enhanced electron mobility.,2011,Journal of the American Chemical Society,"Daniele Fazzi, Mario Caironi, Chiara Castiglioni.","['Rationalization (psychology)', 'Quantum', '+7']"
Prediction of transmission loss of double panels with a patch-mobility method,2007,Journal of the Acoustical Society of America,"Jean-Daniel Chazot, Jean-Louis Guyader","['Transmission loss', 'Structural acoustics', 'Sound transmission class']"
Regularity and Conformity: Location Prediction Using Heterogeneous Mobility Data,2015,Knowledge Discovery and Data Mining,"Yingzi Wang1, Nicholas Jing Yuan2, Defu Lian3, Linli Xu1, Xing Xie2","['1University of Science and Technology of China,', '2Microsoft,', '3University of Electronic Science and Technology of China']"
MPBC: A Mobility Prediction-Based Clustering Scheme for Ad Hoc Networks,2011,IEEE Transactions on Vehicular Technology,"Minming Ni1, Zhangdui Zhong1, Dongmei Zhao2","['2McMaster University', 'Wireless ad hoc network', 'Scalability']"
Prediction of the Onset of Crystallization of Amorphous Sucrose Below the Calorimetric Glass Transition Temperature from Correlations with Mobility,2007,Journal of Pharmaceutical Sciences,"Chandan Bhugra1, Shailaja Rambhatla1, Aziz Bakri2, Sarma P. Duddu3, Danforth P. Miller3","['1University of Connecticut,', '2Joseph Fourier University,', '3Nektar Therapeutics, San Carlos, California']"
Contextual conditional models for smartphone-based human mobility prediction,2012,Ubiquitous Computing,"Trinh Minh Tri Do1, Daniel Gatica-Perez2","['2Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne', 'Probabilistic logic', 'Multiple Models']"
Behavior-based mobility prediction for seamless handoffs in mobile wireless networks,2011,Wireless Networks,"Weetit Wanalertlak1, Ben Lee1, Chansu Yu2, Myungchul Kim3, Seung-Min Park4","['1Oregon State University,', '2Cleveland State University,', '3KAIST,']"
Mobility modelling and trajectory prediction for cellular networks with mobile base stations,2003,Mobile Ad Hoc Networking and Computing,"Pubudu N. Pathirana1, Andrey V. Savkin2, Sanjay Jha2","['2University of New South Wales', 'Wireless sensor network', 'Wireless ad hoc network']"
A practical user mobility prediction algorithm for supporting adaptive QoS in wireless networks,1999,International Conference on Networks,"Jonathan Chan, Aruna Seneviratne","['Wireless network', 'Radio resource management', 'Quality of service']"
Application of Mobility Prediction in Wireless Networks Using Markov Renewal Theory,2010,IEEE Transactions on Vehicular Technology,"Haitham Abu-Ghazaleh, Attahiru Sule Alfa","['Wireless network', 'Renewal theory', 'Quality of service']"
Clustering in mobile ad hoc networks through neighborhood stability-based mobility prediction,2008,Computer Networks,"Charalampos Konstantopoulos1, Damianos Gavalas2, Grammati E. Pantziou3","['2University of the Aegean,', '3Department of Informatics, Technological Educational Institution of Athens, Athens, Greece', 'Mobility model']"
A Dynamic Clustering Algorithm for MANETs by modifying Weighted Clustering Algorithm with Mobility Prediction,2010,International Journal of Computer and Electrical Engineering,"S. Muthuramalingam, R. RajaRam, Kothai Pethaperumal, V.Karthiga Devi","['Packet radio', 'Mobile ad hoc network', '+5']"
A reliable broadcast routing scheme based on mobility prediction for VANET,2009,IEEE Intelligent Vehicles Symposium,"Peiyuan Lai, Xinhong Wang, Ning Lu, Fuqiang Liu","['Wireless ad hoc network', 'Vehicular ad hoc network', 'Routing protocol']"
Mobility Prediction in Mobile Ad Hoc Networks Using Extreme Learning Machines,2013,Procedia Computer Science,"Lahouari Ghouti1, Tarek R. Sheltami1, Khaled S. Alutaibi2","['2University of British Columbia', 'Wireless network', 'Wireless ad hoc network']"
Mobility prediction based neighborhood discovery in mobile Ad Hoc networks,2011,Arxiv,"Xu Li, Nathalie Mitton, David Simplot-Ryl","['Wireless ad hoc network', 'Optimized Link State Routing Protocol', 'On the fly']"
The effect of mobility-induced location errors on geographic routing in ad hoc networks: analysis and improvement using mobility prediction,2004,Wireless Communications and Networking Conference,"Dongjin Son, Ahmed Helmy, Bhaskar Krishnamachari","['Wireless ad hoc network', 'Routing protocol', 'Optimized Link State Routing Protocol']"
A reliable on-demand routing protocol for mobile ad hoc networks with mobility prediction,2005,Computer Communications,"Nen-Chung Wang, Shou-Wen Chang","['Wireless Routing Protocol', 'Optimized Link State Routing Protocol', 'Link-state routing protocol']"
A Mobility Management Technique with Simple Handover Prediction for 3G LTE Systems,2007,Vehicular Technology Conference,"Tae-Hyong Kim, Qiping Yang, Jae-Hyoung Lee, Soon-Gi Park, Yeon-Seung Shin","['UMTS frequency bands', 'Real-time computing', 'Random waypoint model']"
SmartDC: Mobility Prediction-Based Adaptive Duty Cycling for Everyday Location Monitoring,2014,IEEE Transactions on Mobile Computing,"Yohan Chon, Elmurod Talipov, Hyojeong Shin, Hojung Cha","['Unsupervised learning', 'Schedule', 'Real-time computing']"
Mobility prediction in mobile wireless networks,2012,Journal of Network and Computer Applications,Javad Akbari Torkestani,"['Wireless network', 'Wireless ad hoc network', 'Stochastic process']"
Exploiting Mobility Prediction for Dependable Service Composition in Wireless Mobile Ad Hoc Networks,2011,IEEE Transactions on Services Computing,Jianping Wang,"['Service-oriented architecture', 'Service provider', 'Probabilistic logic']"
Prediction of electrophoretic mobilities of peptides in capillary zone electrophoresis by quantitative structure-mobility relationships using the offord model and artificial neural networks,2005,Electrophoresis,"Mehdi Jalali-Heravi, Yang Shen, Mostafa Hassanisadi, Morteza G. Khaledi","['Substituent', 'Steric effects', 'Molar refractivity']"
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",2014,Journal of Network and Computer Applications,"Poria Pirozmand, Guowei Wu, Behrouz Jedari, Feng Xia","['Social network', 'Mobility model', 'Mobile device']"
Large-Scale Prediction of Collision Cross-Section Values for Metabolites in Ion Mobility-Mass Spectrometry,2016,Analytical Chemistry,"Zhiwei Zhou, Xiaotao Shen, Jia Tu, Zheng-Jiang Zhu","['Metabolomics', 'Metabolite', '+5']"
Comparison of User Mobility Pattern Prediction Algorithms to increase Handover Trigger Accuracy,2006,Vehicular Technology Conference,"Stefan Michaelis1, Christian Wietfeld2","['2Inst. of Commun. Networks, Dortmund Univ.', 'Vertical handover', 'User-centered design']"
Aggregation point prediction matching for coherent layer three signaling and fast IP mobility triggering,2002,Arxiv,"YoungJune L. Gwon, Daichi Funato, Atsushi Takeshita","['Wireless', 'Real-time computing', 'Handover']"
Mobility Prediction in Cellular Network Using Hidden Markov Model,2010,Consumer Communications and Networking Conference,"Hongbo Si, Yue Wang, Jian Yuan, Xiuming Shan","['Systems modeling', 'Personal mobility', 'Next-generation network']"
Availability prediction and modeling of high mobility OSCAR cluster,2003,International Conference on Cluster Computing,"Leangsuksun, Shen, Tong Liu, Hertong Song, Scott","['Supercomputer', 'Stochastic Petri net', 'Software architecture']"
Plasma high-mobility group box 1 levels and prediction of outcome in patients with traumatic brain injury.,2012,Clinica Chimica Acta,"Ke-Yi Wang1, Guo-Feng Yu2, Zu-Yong Zhang1, Qiang Huang2, Xiao-Qiao Dong1","[""2Department of Neurosurgery, Quzhou People's Hospital, 2 Zhongloudi Road, Quzhou 324100, China"", 'Traumatic brain injury', 'Physical therapy']"
Prediction of human emergency behavior and their mobility following large-scale disaster,2014,Knowledge Discovery and Data Mining,"Xuan Song, Quanshi Zhang, Yoshihide Sekimoto, Ryosuke Shibasaki","['Transport engineering', 'Population', 'Natural disaster']"
Traffic-Known Urban Vehicular Route Prediction Based on Partial Mobility Patterns,2009,International Conference on Parallel and Distributed Systems,"Guangtao Xue1, Zhongwei Li1, Hongzi Zhu1, Yunhuai Liu2","['2Hong Kong University of Science and Technology', 'Wireless ad hoc network', 'Vehicular ad hoc network']"
Movement Prediction in Wireless Networks Using Mobility Traces,2010,Consumer Communications and Networking Conference,"Pratap S. Prasad, Prathima Agrawal","['Wireless network', 'Wireless', 'Quality of service']"
Mobility prediction in telecom cloud using mobile calls,2014,IEEE Wireless Communications,"Daqiang Zhang1, Min Chen2, Mohsen Guizani3, Haoyi Xiong4, Daqing Zhang4","['2Huazhong University of Science and Technology,', '3Qatar University,', '4Institut Mines-TÃ©lÃ©com']"
A novel vehicular location prediction based on mobility patterns for routing in urban VANET,2012,Eurasip Journal on Wireless Communications and Networking,"Guangtao Xue, Yuan Luo, Jiadi Yu, Minglu Li","['Video tracking', 'Vehicular ad hoc network', 'Routing protocol']"
Reliable routing in mobile ad hoc networks based on mobility prediction,2004,Mobile Adhoc and Sensor Systems,"Jian Tang, Guoliang Xue, Weiyi Zhang","['Wireless Routing Protocol', 'Private Network-to-Network Interface', 'Optimized Link State Routing Protocol']"
Enhancing mobile data offloading with mobility prediction and prefetching,2012,Mobility in the Evolving Internet Architecture,"Vasilios A. Siris, Dimitrios Kalyvas","['Throughput', 'Robustness (computer science)', 'Real-time computing']"
Theoretical Prediction of Carrier Mobility in Few-Layer BC2N.,2014,Journal of Physical Chemistry Letters,"Jiafeng Xie, Z. Y. Zhang, D. Z. Yang, D. S. Xue, M. S. Si","['Photochemistry', 'Nanotechnology', '+6']"
A comparative study of mobility prediction in fixed wireless networks and mobile ad hoc networks,2003,International Conference on Communications,"Robin Chellapa1, Andrew Jennings1, Nirmala Shenoy2","['2Rochester Institute of Technology', 'Wireless ad hoc network', 'Vehicular ad hoc network']"
Simulation study of a class of autonomous host-centric mobility prediction algorithms for wireless cellular and ad hoc networks,2003,Annual Simulation Symposium,"Ing-Ray Chen, Naresh Verma","['Wireless network', 'Wireless ad hoc network', 'Wireless']"
Model migrations: mobility and boundary crossings in regional climate prediction,2012,Transactions of the Institute of British Geographers,"Martin Mahony, Mike Hulme","['Social science', 'Science, technology and society', 'Redistribution (cultural anthropology)']"
Mobility Prediction in Wireless Ad Hoc Networks using Neural Networks,2010,arXiv: Neural and Evolutionary Computing,"Heni Kaaniche, Farouk Kamoun","['Wireless Routing Protocol', 'Vehicular ad hoc network', '+9']"
When and where next: individual mobility prediction,2012,International Workshop on Mobile Geographic Information Systems,"GyÅ‘zÅ‘ GidÃ_falvi, Fang Dong","['Trajectory', 'Mobile device', 'Markov model']"
Electrophoretic behaviour of zwitterionic compounds in capillary electrophoresis: Prediction of mobility of several quinolones,2000,Analytica Chimica Acta,"Dolores BarrÃ_n, Eulalia JimÃ©nez-Lozano, JosÃ© Barbosa","['Isolation techniques', 'Ionic strength', 'Ion']"
High Mobility Ratio Water Flood Performance Prediction: Challenges and New Insights,2005,Arxiv,"Mridul Kumar, Viet Thai Hoang, Cengiz Satik","['Performance prediction', 'Geotechnical engineering', 'Geography']"
Prediction of traffic fatalities and prospects for mobility becoming sustainable-safe,2007,Sadhana-academy Proceedings in Engineering Sciences,Matthijs J. Koornstra,"['Traffic volume', 'Simulation', 'Per capita income']"
Impact of sensor-enhanced mobility prediction on the design of energy-efficient localization,2008,Ad Hoc Networks,"Chuang-Wen You, Polly Huang, Hao-hua Chu, Yi-Chao Chen, Ji-Rung Chiang","['National Taiwan University', 'Signal strength', 'Sampling (signal processing)']"
Where to go from here? Mobility prediction from instantaneous information,2013,Pervasive and Mobile Computing,"Vincent Etter, Mohamed Kafsi, Ehsan Kazemi, Matthias Grossglauser, Patrick Thiran","['Mobile broadband', 'Machine learning', 'Graphical model']"
Effect of network parameters on neighbor wireless link breaks in GPSR protocol and enhancement using mobility prediction model,2012,Eurasip Journal on Wireless Communications and Networking,"Raed A Alsaqour1, Maha S Abdelhaq1, Ola A Alsukour2","['2University of Jordan', 'Zone Routing Protocol', 'Wireless Routing Protocol']"
First-Principles Prediction of the Charge Mobility in Black Phosphorus Semiconductor Nanoribbons,2015,Journal of Physical Chemistry Letters,"Jin Xiao1, 2, Mengqiu Long2, Xiaojiao Zhang3, Dan Zhang2, Hui Xu2","['1Hunan University of Technology,', '2Central South University,', '3Yichun University']"
A Destination and Mobility Path Prediction Scheme for Mobile Networks,2015,IEEE Transactions on Vehicular Technology,"Apollinaire Nadembega1, Abdelhakim Hafid1, Tarik Taleb2","['2Aalto University', 'Reservation', 'Quality of service']"
A Novel Ad hoc Routing Protocol Based on Mobility Prediction,2008,Information Technology Journal,"Limin Meng, Weihuang Fu, Zhijiang Xu, Jiangxing Zhang, Jingyu Hua","['Wireless Routing Protocol', 'Vehicular ad hoc network', '+7']"
A probabilistic kernel method for human mobility prediction with smartphones,2015,Pervasive and Mobile Computing,"Trinh Minh Tri Do1, Olivier Dousse2, Markus Miettinen2, Daniel Gatica-Perez3","['2Nokia,', '3Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne', 'Sparse matrix']"
Mobility prediction using future knowledge,2007,Modeling Analysis and Simulation of Wireless and Mobile Systems,"Michael H. Sun, Douglas M. Blough","['Mobility model', 'Mobility management', 'Markov chain']"
Prediction of gas-phase reduced ion mobility constants (K0) based on the multiple linear regression and projection pursuit regression,2007,Talanta,"Huanxiang Liu1, Xiaojun Yao1, Mancang Liu1, Zhide Hu1, Botao Fan2","['2University of Paris', 'Statistics', 'Standard error']"
Mobility prediction based on an ant system,2008,Computer Communications,"Mehammed Daoui1, Abdelaziz Mzoughi2, Mustapha Lalam1, Malika Belkadi1, Rachida Aoudjit1","['2Institut de Recherche en, Informatique de Toulouse, UPS, France', 'Wireless network', 'Service quality']"
Impact of mobility prediction on the performance of Cognitive Radio networks,2010,Wireless Telecommunications Symposium,"Ismail Butun1, A. Cagatay Talay2, D. Turgay Altilar2, Murad Khalid1, Ravi Sankar1","['2Department of Computer Engineering, Â¿stanbul Technical University, TÃ_rkiye', 'Wireless ad hoc network', 'Spectral efficiency']"
Theoretical Prediction of Electronic Structure and Carrier Mobility in Single-walled MoS2 Nanotubes,2015,Scientific Reports,"Jin Xiao, Mengqiu Long, Xinmei Li, Hui Xu, Han Huang","['Zigzag', 'Semiconductor', 'Materials science']"
Sensor-Enhanced Mobility Prediction for Energy-Efficient Localization,2006,"Sensor, Mesh and Ad Hoc Communications and Networks","Chuang-wen You1, Yi-Chao Chen1, Ji-Rung Chiang1, Polly Huang2, Hao-hua Chu2","['1National Taiwan University,', '2Department of Computer Science and Information Engineering', 'Wireless sensor network']"
High-Mobility-Ratio Waterflood Performance Prediction: Challenges and New Insights,2008,Spe Reservoir Evaluation & Engineering,"Mridul Kumar, Viet T. Hoang, Cengiz Satik, Danny H. Rojas","['Petroleum engineering', 'Performance prediction', 'Geotechnical engineering']"
A cluster based mobility prediction scheme for ad hoc networks,2008,Ad Hoc Networks,"Lyes Dekar, Hamamache Kheddouci","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Vehicular ad hoc network']"
Machine learning based prediction for peptide drift times in ion mobility spectrometry,2010,Bioinformatics,"Anuj R. Shah, Khushbu Agarwal, Erin S. Baker, Mudita Singhal, Anoop M. Mayampurath","['Pacific Northwest National Laboratory', 'Support vector machine', 'Protein secondary structure']"
A power-aware multicast routing protocol for mobile ad hoc networks with mobility prediction,2005,Local Computer Networks,"Nen-Chung Wang, Yu-Li Su","['Wireless ad hoc network', 'Routing protocol', 'Protocol Independent Multicast']"
Prediction of electrophoretic mobility of substituted aromatic acids in different aqueousâ€“alcoholic solvents by capillary zone electrophoresis based on support vector machine,2004,Analytica Chimica Acta,"Huan-Xiang Liu1, Rui-Sheng Zhang1, Xiao-Jun Yao1, 2, Man-Cang Liu1, Zhi-De Hu1","['1Lanzhou University,', '2University of Paris', 'Test set']"
Gaussian Process Decentralized Data Fusion and Active Sensing for Spatiotemporal Traffic Modeling and Prediction in Mobility-on-Demand Systems,2015,IEEE Transactions on Automation Science and Engineering,"Jie Chen1, Kian Hsiang Low2, Yujian Yao2, Patrick Jaillet3","['2National University of Singapore,', '3Massachusetts Institute of Technology', 'Traffic flow']"
Impact of mobility prediction on the temporal stability of MANET clustering algorithms,2005,"Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks","Aravindhan Venkateswaran1, Venkatesh Sarangan2, Natarajan Gautam3, Raj Acharya1","['2Oklahoma State Universityâ€“Stillwater,', '3Texas A&M University', 'Wireless ad hoc network']"
Volatile heavy metal mobility in silicate liquids: Implications for volcanic degassing and eruption prediction,2008,Earth and Planetary Science Letters,"Jason M. MacKenzie, Dante Canil","['Volatilisation', 'Thermal diffusivity', 'Silicate']"
PnLUM : System for Prediction of Next Location for Users with Mobility,2012,Arxiv,"T. Nguyen, Heng-Tze Cheng, Pang Wu, Senaka Buthpitiya, Jiang Zhu","['Support vector machine', 'Statistical classification', 'Resource allocation']"
An Effective Approach for Mobility Prediction in Wireless Network based on Temporal Weighted Mobility Rule,2012,Arxiv,"Thuy Van, T. Duong","['Resource (disambiguation)', 'Mobility model', '+7']"
A Mobility Prediction-Based Adaptive Data Gathering Protocol for Delay Tolerant Mobile Sensor Network,2008,Global Communications Conference,"Jinqi Zhu1, Jiannong Cao2, Ming Liu1, Yuan Zheng2, Haigang Gong1","['1Dept. of Comput. Sci. & Eng., Univ. of Electron. Sci. & Technol. of China, Chengdu,', '2Dept. of Comput., Hong Kong Polytech. Univ., Hong Kong', 'Wireless sensor network']"
Exercise dose and mobility outcome in a comprehensive stroke unit: description and prediction from a prospective cohort study.,2012,Journal of Rehabilitation Medicine,"Katharine Scrivener1, Catherine Sherrington1, Karl Schurr2","['2Bankstown Hospital', 'Stroke', 'Prospective cohort study']"
Prediction of the neurological outcome with intrathecal high mobility group box 1 and S100B in cardiac arrest victims: A pilot study,2012,Resuscitation,"Yasutaka Oda, Ryosuke Tsuruta, Motoki Fujita, Kotaro Kaneda, Yoshikatsu Kawamura","['Yamaguchi University', 'Return of spontaneous circulation', 'Observational study']"
Deeptransport: prediction and simulation of human mobility and transportation mode at a citywide level,2016,International Joint Conference on Artificial Intelligence,"Xuan Song, Hiroshi Kanasugi, Ryosuke Shibasaki","['Traffic congestion', 'Simulation', 'Scheduling (computing)']"
A stochastic response surface approach to statistical prediction of mobile robot mobility,2008,Intelligent Robots and Systems,"Gaurav Kewlani, Karl Iagnemma","['Terrain', 'Stochastic process', 'Robotics']"
Route maintenance using mobility prediction for mobile ad hoc networks,2005,Mobile Adhoc and Sensor Systems,"B.H. Sathyaraj, R.C. Doss","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Vehicular ad hoc network']"
Integrating mobility prediction and resource pre-allocation into a home-proxy based wireless Internet framework,2000,International Conference on Networks,"Jonathan Chan1, BjÃ¶rn Landfeldt2, Aruna Seneviratne2, Pipat Sookavatana2","['2Mahanakorn University of Technology', 'The Internet', 'Quality of service']"
QoS routing with mobility prediction in MANET,2001,"Pacific Rim Conference on Communications, Computers and Signal Processing","Jianxin Wang, Yiqun Tang, ShuGuang Deng, Jianer Chen","['Zone Routing Protocol', 'Wireless Routing Protocol', 'Optimized Link State Routing Protocol']"
Machine learning techniques for the prediction of the peptide mobility in capillary zone electrophoresis,2007,Talanta,"Ke Yu, Yiyu Cheng","['Test set', 'Support vector machine', 'Standard error']"
Mobility-Prediction-Aware Bandwidth Reservation Scheme for Mobile Networks,2015,IEEE Transactions on Vehicular Technology,"Apollinaire Nadembega1, Abdelhakim Hafid1, Tarik Taleb2","['2Aalto University', 'Real-time computing', 'Quality of service']"
A Generic Mobility Model for Resource Prediction in Mobile Grids,2006,Collaboration Technologies and Systems,"Umar Farooq, Wajeeha Khalil","['Utility computing', 'Software deployment', 'Semantic grid']"
An Activity Based Mobility Prediction Strategy Using Markov Modeling for Wireless Networks,2008,Arxiv,"R. V. Mathivaruni, V. Vaidehi","['Reservation', 'Overhead (business)', '+6']"
An activity based mobility prediction strategy for next generation wireless networks,2006,Wireless and Optical Communications Networks,"M.S. Sricharan, V. Vaidehi, P.P. Arun","['Wireless network', 'Wireless', 'Service level']"
Realtime location privacy via mobility prediction: creating confusion at crossroads,2009,Workshop on Mobile Computing Systems and Applications,"Joseph T. Meyerowitz, Romit Roy Choudhury","['Traffic simulation', 'Noise floor', 'Location-based service']"
Mobility Prediction in Mobile Ad-Hoc Networks,2011,Arxiv,"Damianos Gavalas1, Charalampos Konstantopoulos2, Basilis Mamalis3, Grammati Pantziou3","['2University of Piraeus,', '3Technological Educational Institution of Athens, Greece', 'Wireless ad hoc network']"
A Mobility-Prediction-Based Relay Deployment Framework for Conserving Power in MANETs,2009,IEEE Transactions on Mobile Computing,"A. Venkateswaran1, V. Sarangan2, T.F. La Porta1, R. Acharya1","['2Oklahoma State Universityâ€“Stillwater', 'Wireless ad hoc network', 'Sparse array']"
Prediction of Charge Mobility in Amorphous Organic Materials through the Application of Hopping Theory,2011,Journal of Chemical Theory and Computation,"Choongkeun Lee, Robert Waterland, Karl Sohlberg","['Computation', 'Chemistry', '+1']"
